record_type,id,title,incipit,siglum,manuscript_full_text
chant,279260,,Dominus custodit te ab omni,HR-Dsmbb XI,
chant,267583,,Cum fortis armatus custodit,HR-Hf Cod. D,
chant,268226,,Custodit dominus omnia ossa,HR-Hf Cod. E,
chant,269303,,Dominus custodit te ab omni,HR-Hf Cod. E,
chant,165061,,Dominus custodit te ab omni,I-AO 6,
chant,171323,,Cum fortis armatus custodit atrium,I-Ac 693,Cum fortis armatus custodit atrium suum in pace sunt omnia que possidet | ~Benedictus
chant,172710,,Est secretum Valeriane quod tibi,I-Ac 693,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | ~Magnificat
chant,172721,,Est secretum Valeriane quod tibi,I-Ac 693,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | A colloquiis
chant,167706,,Cum fortis armatus custodit,I-Ac 694,
chant,173840,,Cum fortis armatus custodit,I-Ad 5,
chant,174985,,Custodit dominus omnia ossa,I-Ad 5,
chant,176097,,Dominus custodit te ab omni,I-Ad 5,
chant,189359,,Dum fortis armatus custodit,I-BV 19,
chant,190107,,Custodit dominus omnia ossa,I-BV 20,
chant,215561,,Dum fortis armatus custodit,I-CHV,
chant,235124,,Cum fortis armatus custodit,I-Far,
chant,235728,,Custodit dominus omnia ossa,I-Far,
chant,235752,,Custodit*,I-Far,
chant,239723,,Cum fortis armatus custodit,I-Fl Conv. sopp. 560,
chant,369422,,Cum fortis armatus custodit,I-Lc 601,
chant,372244,,Dominus custodit te ab omni,I-Lc 601,
chant,352916,,Dum fortis armatus custodit,I-MC 542,
chant,354203,,Dum fortis armatus custodit,I-MZ 15/79,
chant,712615,,Justitiae domini rectae laetificantes corda,I-Nn VI.g.38,Iustitie domini recte letificantes corda et dulciora super mel et favum nam et servus tuus custodit ea
chant,364923,,Cum fortis armatus custodit,I-Nn vi.E.20,
chant,366322,,Custodit dominus omnia ossa,I-Nn vi.E.20,
chant,367672,,Dominus custodit te ab omni,I-Nn vi.E.20,
chant,420813,,Dum fortis armatus custodit,I-PCsa 65,
chant,422889,,Custodit dominus omnia ossa,I-PCsa 65,
chant,423021,,Custodit*,I-PCsa 65,
chant,423103,,Custodit*,I-PCsa 65,
chant,424833,,Dominus custodit te ab omni,I-PCsa 65,
chant,427324,,Dum fortis armatus custodit atrium,I-Rv C.5,
chant,431088,,Dominus custodit te ab omni,I-Rv C.5,
chant,218145,,Cum fortis armatus custodit atrium,I-Rvat SP B.79,Cum fortis armatus custodit atrium suum In pace sunt omnia que possidet | ~Benedictus
chant,219560,,Est secretum Valeriane quod tibi ,I-Rvat SP B.79,Est secretum valeriane quod tibi volo dicere Angelum dei habeo amatorem qui nimio zelo custodit corpus meum | ~Iubilate
chant,219970,,Dominus custodit te ab omni,I-Rvat SP B.79,Dominus custodit te ab omni malo custodiat animam tuam dominus | ~Levavi oculos
chant,225558,,Cum fortis armatus custodit,I-Rvat lat. 8737,
chant,226850,,Custodit dominus omnia ossa,I-Rvat lat. 8737,
chant,228303,,Dominus custodit te ab omni,I-Rvat lat. 8737,
chant,586072,,Dum fortis armatus custodit atrium,I-VCd CLXX,
chant,586442,,Accendentes principes sacerdotum ad Pilatum,I-VCd CLXX,
chant,587782,,Dominus custodit te ab omni,I-VCd CLXX,
chant,568158,,Cum fortis armatus custodit atrium,I-VCd LXII,
chant,568924,,Qui custodit veritatem in saeculum,I-VCd LXII,
chant,568925,,Dominus erigit elisos dominus solvit,I-VCd LXII,
chant,568988,,Custodit dominus omnia ossa eorum,I-VCd LXII,
chant,569596,,Multae tribulationes iustorum et de,I-VCd LXII,
chant,570893,,Est secretum Valeriane quod tibi,I-VCd LXII,
chant,570915,,Est secretum Valeriane quod tibi,I-VCd LXII,
chant,576482,,Custodit dominus omnia ossa eorum,I-VCd LXIV,
chant,577711,,Est secretum Valeriane quod,I-VCd LXIV,
chant,577733,,Est secretum Valeriane quod tibi ,I-VCd LXIV,
chant,578120,,Dominus custodit te ab omni,I-VCd LXIV,
chant,575993,,Cum fortis armatus custodit atrium,I-VCd LXX,
chant,582571,,Cum fortis armatus custodit atrium,I-VCd LXXIX,
chant,583113,,Custodit dominus omnia ossa eorum,I-VCd LXXIX,
chant,583841,,Est secretum Valeriane quod,I-VCd LXXIX,
chant,583863,,Est secretum Valeriane quod tibi,I-VCd LXXIX,
chant,584272,,Surgite sancti de mansionibus vestris,I-VCd LXXIX,
chant,584678,,Dominus custodit te ab omni,I-VCd LXXIX,
chant,579476,,Cum fortis armatus custodit atrium,I-VCd XXXVII,
chant,579992,,Custodit dominus omnia ossa eorum,I-VCd XXXVII,
chant,580791,,Est secretum Valeriane quod,I-VCd XXXVII,
chant,580813,,Est secretum Valeriane quod tibi,I-VCd XXXVII,
chant,387962,,Dum fortis armatus custodit atrium,MA Impr. 1537,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet
chant,390159,,Dum lapidatur Stephanus saulus adolescentulus ,MA Impr. 1537,Dum lapidatur stephanus saulus adolescentulus custodit vestes testium martyrem lapidantium 
chant,392223,,Est secretum Valeriane quod tibi ,MA Impr. 1537,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,392237,,Angelum dei habeo amatorem qui ,MA Impr. 1537,Angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,392243,,Est secretum Valeriane quod tibi,MA Impr. 1537,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,694347,,Cum fortis armatus custodit atrium,MSS_09700,Cum fortis armatus custodit atrium suum in pace sunt omnia que possidet | ~Benedictus
chant,393786,,Dominus*,ND Lat. a. 12,
chant,393787,,Dominus custodit te ab omni,ND Lat. a. 12,
chant,493803,,Cum fortis armatus custodit atrium,NL-Uu 406,Cum fortis armatus custodit atrium suum in pace sunt omnia quae possidet
chant,497136,,Est secretum Valeriane quod tibi,NL-Uu 406,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum
chant,657987,,Est secretum Valeriane quod tibi,NZ Wt MSR-03,Est secretum valeriane quod tibi volo dicere angelum dei habeo amatorem qui nimio zelo custodit corpus meum | Euouae
chant,466576,,Dum fortis armatus custodit atrium,P-Pm 1151,
chant,325484,,Dum fortis armatus custodit,PL-KIk 1,
chant,330098,,Dominus custodit te ab omni,PL-KIk 1,
chant,318038,,Dum fortis armatis custodit,PL-Kkar 2 (Rkp 14),
chant,322050,,Dominus custodit te ab omni,PL-Kkar 4 (Rkp 20),
chant,596221,,Custodit dominus*,PL-WRu I F 401,
chant,596970,,Dum fortis armatus custodit,PL-WRu I F 401,
chant,561847,,Dum fortis armatus custodit atrium,PL-WRu R 503,Dum fortis armatus custodit atrium suum in pace sunt omnia que possidet | Euouae
chant,565437,,Est secretum Valeriane quod,PL-WRu R 503,
chant,565460,,Est secretum Valeriane quod tibi,PL-WRu R 503,
chant,342990,,Dum fortis armatus custodit,SI-Lna 18 (olim 17),
chant,345081,,Dominus custodit te ab omni,SI-Lna 18 (olim 17),
chant,358978,,Dominus custodit te ab omni,SI-Lna 19 (olim 18),
chant,261898,,Cum fortis armatus custodit,TR-Itks 42,
chant,266021,,Dominus custodit te ab omni,TR-Itks 42,
chant,701549,,Dum fortis armatus custodit atrium,US-CA 09,
chant,665167,,Custodit dominus omnia ossa,US-CHNbcbl 097,
chant,665984,,Dominus custodit te ab omni,US-CHNbcbl 097,
chant,675595,,Aurora lucis rutilat caelum laudibus,US-Cai 1911.142b,Aurora lucis rutilat celum laudibus intonat mundus exultans iubilat gemens infernus ululat | Cum rex ille fortissimus mortis confractis viribus pede conculcans tartara solvit a pena miseros | Ille qui clausus lapide custoditur sub milite triumphans pompa nobili victor surgit de funere | Solutis iam gemitibus et inferni doloribus quia surrexit dominus resplendens clamat angelus | Tristes erant apostoli de nece sui domine quam pena mortis crudeli servi dampnarunt implii | Quesumus auctor | Gloria tibi domine
chant,221444,,Cum fortis armatus custodit,US-Cn 24,
chant,222838,,Custodit dominus omnia ossa,US-Cn 24,
chant,224480,,Dominus custodit te ab omni,US-Cn 24,
chant,681663,,Qui odit animam suam in,US-HA Rauner Codex MS 003203,QUi odit animam suam in hoc mundo in vitam eternam custodit eam | ~Benedictus
chant,712841,,Dominus custodit te ab omni ,"US-IOspca MSC0542, xMMS.Po1",Dominus custodit te ab omni malo custodiat animam tuam dominus
chant,684601,,Qui odit animam suam in,US-NYcub Barnard 1,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | ~Benedictus
chant,690488,,Dominus custodit te ab omni ,US-NYcub Barnard 1,Dominus custodit te ab omni malo custodiat animam tuam dominus | ~Levavi
chant,604188,,Qui odit animam suam in,US-NYcub Plimpton 41,Qui odit animam suam in hoc mundo in vitam eternam custodit eam | ~Benedictus
chant,713645,,Multae tribulationes justorum et de,US-NYcub Western MS 097,Multe tribulationes iustorum et de his omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex his non conteretur
chant,692804,,Multae tribulationes justorum et de,US-PRu Princeton MS. 245,Multe tribulationes iustorum et de his omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex his non conteretur
chant,1000734,,Multae tribulationes justorum et de,,Multe tribulationes iustorum et de his omnibus liberavit eos dominus dominus custodit omnia ossa eorum unum ex his non conteretur
chant,1001877,,Ille qui clausus lapide custoditur,,Ille qui clausus lapide custoditur sub milite triumphans pompa nobili victor surgit de funere
chant,1002116,,Blandimentis rex molitur virginem seducere,,Blandimentis rex molitur virginem seducere nec promissis emollitur nec terretur verbere compeditur custoditur tetro clausa carcere
chant,1002682,,[Custodit] dominus*,,# -nus*
chant,1002908,,Dominus custodit te ab omni,,Dominus custodit te ab omni malo custodiat animam tuam Dominus | ~Levavi oculos
chant,1002909,,Dominus custodit te ab omni,,Dominus custodit te ab omni malo custodiat animam tuam Dominus
chant,1004944,,Est secretum Valeriane quod tibi,,Est secretum valeriane quod tibi volo dicere. angelum dei habeo amatorem: qui nimio zelo custodit corpus meum. | ~Magnificat
