id,title,incipit,institution_siglum
256921,,Domine Jesu Christe pastor bone,CH-Fco
257052,,Domine praevenisti eum in benedictionibus,CH-Fco
257150,,Domine quinque talenta tradidisti mihi,CH-Fco
257157,,Domine dominus noster quam admirabile,CH-Fco
257165,,Domine iste sanctus habitavit in,CH-Fco
257217,,Domine iste sanctus*,CH-Fco
257222,,Domine quinque talenta tradidisti mihi,CH-Fco
257238,,Domine quinque talenta*,CH-Fco
257315,,Domine si conversus fuerit populus,CH-Fco
675825,,Domine deus virtutum converte nos,CH-Fco
676040,,Domine Dominus noster quam admirabile,CH-Fco
676471,,Domine non secundum peccata nostra,CH-Fco
676472,,Domine ne memineris iniquitatum nostrarum,CH-Fco
676490,,Domine vivifica me secundum eloquium,CH-Fco
676516,,Domine deus virtutum exaudi preces,CH-Fco
676520,,Domine refugium factus es nobis,CH-Fco
676567,,Domine deus salutis meae in,CH-Fco
676574,,Domine refugium tu factus es ,CH-Fco
676579,,Domine Deus salutis meae in,CH-Fco
676580,,Domine deus meus in te,CH-Fco
676596,,Domine Dominus noster quam admirabile,CH-Fco
676680,,Domine ne in furore tuo,CH-Fco
677049,,Domine libera animam meam a,CH-Fco
677050,,Domine in auxilium meum respice,CH-Fco
677223,,Domine quis habitabit in tabernaculo,CH-Fco
677229,,Domine fac mecum misericordiam tuam,CH-Fco
677421,,Domine ad adjuvandum me festina,CH-Fco
677422,,Domine memorabor justitiae tuae solius,CH-Fco
677563,,Domine convertere et eripe animam,CH-Fco
677574,,Domine deus meus clamavi ad,CH-Fco
677661,,Domine ne longe facias auxilium,CH-Fco
677781,,Domine exaudi orationem meam et,CH-Fco
677784,,Domine exaudi orationem meam et,CH-Fco
677790,,Domine exaudi orationem meam et,CH-Fco
677827,,Domine ne in furore tuo,CH-Fco
677882,,Domine tu mihi lavas pedes,CH-Fco
677884,,Domine,CH-Fco
677886,,Domine non tantum pedes sed,CH-Fco
677934,,Domine audivi auditum tuum et,CH-Fco
677946,,Domine domine virtus salutis meae ,CH-Fco
678182,,Domine Deus salutis meae*,CH-Fco
678192,,Domine in tua misericordia speravi,CH-Fco
678207,,Domine convertere*,CH-Fco
678253,,Domine Dominus noster quam admirabile,CH-Fco
678306,,Domine in auxilium*,CH-Fco
678307,,Domine memorabor*,CH-Fco
678347,,Domine refugium factus es nobis,CH-Fco
678404,,Domine quinque*,CH-Fco
678758,,Domine praevenisti*,CH-Fco
678853,,Domine quinque talenta*,CH-Fco
678865,,Domine in virtute tua laetabitur,CH-Fco
678978,,Domine probasti me et cognovisti ,CH-Fco
679011,,Domine quinque*,CH-Fco
679026,,Domine quinque talenta*,CH-Fco
679272,,Domine probasti me et cognovisti ,CH-Fco
679317,,Domine quinque*,CH-Fco
679375,,Domine dominus noster quam admirabile,CH-Fco
679625,,Domine quinque talenta tradidisti mihi ,CH-Fco
679633,,Domine praevenisti eum in benedictionibus,CH-Fco
679703,,Domine deus in simplicitate cordis ,CH-Fco
679712,,Domine Jesu Christe rex gloriae ,CH-Fco
638374,,Domine deus virtutum converte nos,CH-P
638447,,Domine dominus noster quam admirabile,CH-P
638460,,Domine dominus noster quam admirabile,CH-P
638576,,Domine non secundum peccata nostra ,CH-P
638577,,Domine ne memineris iniquitatum nostrarum,CH-P
638580,,Domine abstraxisti ab inferis animam,CH-P
638593,,Domine refugium factus es nobis,CH-P
638595,,Domine vivifica me secundum eloquium,CH-P
638602,,Domine vivifica*,CH-P
638630,,Domine deus virtutum exaudi preces,CH-P
638635,,Domine refugium factus es nobis,CH-P
638672,,Domine deus salutis meae*,CH-P
638676,,Domine deus*,CH-P
638678,,Domine refugium factus es nobis,CH-P
638684,,Domine deus salutis meae in,CH-P
638688,,Domine deus meus in te,CH-P
638710,,Domine dominus noster quam admirabile,CH-P
638716,,Domine ne in furore tuo ,CH-P
638738,,Domine libera animam meam a,CH-P
638739,,Domine in auxilium meum respice,CH-P
638775,,Domine quis habitabit in tabernaculo,CH-P
638780,,Domine fac mecum misericordiam tuam,CH-P
638816,,Domine nomen tuum in aeternum,CH-P
642098,,Domine deus tu cognovisti justitiam,CH-P
642116,,Domine ad adjuvandum me festina,CH-P
642118,,Domine memorabor justitiae tuae solius,CH-P
642149,,Domine convertere et eripe animam,CH-P
642150,,Domine ne in ira tua,CH-P
642164,,Domine deus meus clamavi ad ,CH-P
642195,,Domine ne longe facias auxilium ,CH-P
642235,,Domine exaudi orationem*,CH-P
642238,,Domine exaudi orationem meam et,CH-P
642361,,Domine exaudi orationem meam et,CH-P
642372,,Domine audivi auditum tuum et,CH-P
642384,,Domine domine virtus salutis meae,CH-P
642428,,Domine probasti me*,CH-P
642613,,Domine deus salutis*,CH-P
643021,,Domine in tua misericordia speravi,CH-P
643056,,Domine refugium factus es nobis,CH-P
643074,,Domine dominus noster quam admirabile,CH-P
643118,,Domine in auxilium*,CH-P
643119,,Domine memorabor*,CH-P
643142,,Domine refugium*,CH-P
643145,,Domine deus salutis*,CH-P
643168,,Domine refugium*,CH-P
643237,,Domine quinque talenta tradidisti mihi ,CH-P
643331,,Domine probasti me*,CH-P
643388,,Domine refugium factus est nobis ,CH-P
643461,,Domine in virtute*,CH-P
643492,,Domine probasti me et cognovisti ,CH-P
643497,,Domine probasti me*,CH-P
643508,,Domine probasti me*,CH-P
643535,,Domine praevenisti*,CH-P
643537,,Domine quinque talenta*,CH-P
643954,,Domine quinque talenta*,CH-P
644232,,Domine praevenisti*,CH-P
644252,,Domine praevenisti eum in benedictionibus ,CH-P
644257,,Domine quinque*,CH-P
644394,,Domine dominus noster*,CH-P
644641,,Domine quinque*,CH-P
644683,,Domine praevenisti*,CH-P
644693,,Domine praevenisti*,CH-P
644696,,Domine quinque talenta*,CH-P
644716,,Domine exaudi*,CH-P
644721,,Domine quinque talenta*,CH-P
644739,,Domine praevenisti*,CH-P
644742,,Domine quinque*,CH-P
644757,,Domine deus in simplicitate cordis,CH-P
644766,,Domine Jesu Christe judex mortuorum,CH-P
644805,,Domine praevenisti*,CH-P
644809,,Domine quinque*,CH-P
701793,,Domine in caelo misericordia tua,CH-ROM
455959,,Domine deus virtutum converte nos,CH-SGs
456109,,Domine deus virtutum converte nos,CH-SGs
456252,,Domine audivi auditum tuum et ,CH-SGs
456267,,Domine audivi auditum tuum et,CH-SGs
456280,,Domine audivi auditum tuum et ,CH-SGs
456399,,Domine libera animam meam a,CH-SGs
456586,,Domine audivi*,CH-SGs
456654,,Domine si tu vis potes,CH-SGs
456655,,Domine puer meus jacet paralyticus,CH-SGs
456656,,Domine non sum dignus ut,CH-SGs
456660,,Domine salva nos perimus impera,CH-SGs
456664,,Domine ne in ira tua ,CH-SGs
456679,,Domine dilexi decorem domus tuae ,CH-SGs
456681,,Domine deus Israel exaudi preces ,CH-SGs
456722,,Domine deus propitius esto populo ,CH-SGs
456725,,Domine deus virtutum convertere respice ,CH-SGs
456734,,Domine exaudi orationem meam et ,CH-SGs
456738,,Domine in virtute tua laetabitur ,CH-SGs
456744,,Domine deus meus in te ,CH-SGs
456822,,Domine in caelo misericordia tua,CH-SGs
456825,,Domine in caelo misericordia tua,CH-SGs
456864,,Domine deus meus in te,CH-SGs
456866,,Domine libera animam meam ,CH-SGs
456877,,Domine non est exaltatum cor ,CH-SGs
456889,,Domine deus in adjutorium meum,CH-SGs
456923,,Domine deus salutis meae in,CH-SGs
456924,,Domine refugium factus es nobis,CH-SGs
456927,,Domine refugium tu factus es,CH-SGs
456930,,Domine probasti me et cognovisti,CH-SGs
456932,,Domine clamavi ad te exaudi,CH-SGs
456933,,Domine clamavi ad te exaudi,CH-SGs
456949,,Domine audivi auditum tuum et,CH-SGs
456967,,Domine exaudi*,CH-SGs
456968,,Domine exaudi orationem meam ,CH-SGs
457277,,Domine quinque*,CH-SGs
457306,,Domine non aspicias peccata mea,CH-SGs
457418,,Domine audivi auditum tuum et ,CH-SGs
457535,,Domine refugium*,CH-SGs
457554,,Domine non habeo hominem ut,CH-SGs
457558,,Domine bonum est nos hic,CH-SGs
457584,,Domine labia mea aperies et,CH-SGs
457589,,Domine dimitte eam quia clamat,CH-SGs
457655,,Domine ut video propheta es,CH-SGs
457711,,Domine si hic fuisses Lazarus,CH-SGs
457742,,Domine labia mea aperies et ,CH-SGs
457871,,Domine vim patior responde pro,CH-SGs
457946,,Domine tu mihi lavas pedes,CH-SGs
457947,,Domine non tantum pedes sed,CH-SGs
458009,,Domine libera alleluia alleluia alleluia,CH-SGs
458023,,Domine probasti alleluia alleluia alleluia,CH-SGs
458078,,Domine deus noster cujus gratia,CH-SGs
458126,,Domine qui custodis pactum et ,CH-SGs
458127,,Domine si conversus*,CH-SGs
458317,,Domine abstraxisti ab inferis animam,CH-SGs
458348,,Domine miserere*,CH-SGs
458352,,Domine*,CH-SGs
458356,,Domine*,CH-SGs
458367,,Domine labia mea aperies et,CH-SGs
458601,,Domine ostende nobis patrem*,CH-SGs
458617,,Domine ostende nobis patrem et,CH-SGs
458857,,Domine si in tempore hoc,CH-SGs
459048,,Domine si tu es jube,CH-SGs
459312,,Domine mi rex da mihi,CH-SGs
459333,,Domine mi rex da mihi,CH-SGs
459334,,Domine mi rex da mihi,CH-SGs
459347,,Domine mi rex*,CH-SGs
459555,,Domine Jesu Christe ne despicias ,CH-SGs
459600,,Domine dilexi decorem domus tuae,CH-SGs
459625,,Domine si conversus*,CH-SGs
459654,,Domine dilexi*,CH-SGs
459677,,Domine qui operati sunt justitiam,CH-SGs
459689,,Domine spes sanctorum et turris,CH-SGs
459691,,Domine deus virtutum beati omnes,CH-SGs
459752,,Domine si adhuc populo tuo ,CH-SGs
459753,,Domine si adhuc in eodem,CH-SGs
459755,,Domine si adhuc populo tuo,CH-SGs
459778,,Domine si adhuc populo tuo,CH-SGs
459890,,Domine Jesu Christe seminator casti,CH-SGs
459909,,Domine Jesu Christe pastor bone ,CH-SGs
459926,,Domine Jesu Christe*,CH-SGs
459958,,Domine quinque talenta*,CH-SGs
460266,,Domine dominus noster quam admirabile,CH-SGs
460268,,Domine quinque talenta tradidisti mihi,CH-SGs
460273,,Domine iste sanctus habitabit in,CH-SGs
460309,,Domine quinque talenta tradidisti mihi,CH-SGs
460465,,Domine quando veneris judicare terram,CH-SGs
460481,,Domine secundum actum meum noli,CH-SGs
460530,,Domine si conversus fuerit populus,CH-SGs
460559,,Domine pater et deus vitae,CH-SGs
460560,,Domine pater et deus vitae,CH-SGs
460662,,Domine deus qui conteris bella,CH-SGs
460672,,Domine rex omnipotens in ditione,CH-SGs
460677,,Domine deus caeli et terrae,CH-SGs
460684,,Domine rex omnipotens in ditione,CH-SGs
460840,,Domine factum est ut imperasti,CH-SGs
460938,,Domine descende ut sanes filium,CH-SGs
470833,,Domine deus virtutum converte nos ,CH-SGs
470923,,Domine deus te decet hymnus,CH-SGs
471027,,Domine deus virtutum converte nos,CH-SGs
471172,,Domine audivi auditum tuum et,CH-SGs
471189,,Domine audivi auditum tuum et,CH-SGs
471205,,Domine audivi auditum tuum et,CH-SGs
471327,,Domine libera animam meam a,CH-SGs
471516,,Domine audivi*,CH-SGs
471583,,Domine si tu vis potes,CH-SGs
471584,,Domine puer meus jacet paralyticus,CH-SGs
471585,,Domine non sum dignus ut ,CH-SGs
471589,,Domine salva nos perimus impera,CH-SGs
471590,,Domine salva nos perimus impera,CH-SGs
471593,,Domine ne in ira tua,CH-SGs
471608,,Domine dilexi decorem domus tuae ,CH-SGs
471610,,Domine deus Israel exaudi preces ,CH-SGs
471632,,Domine ne in ira tua ,CH-SGs
471651,,Domine deus propitius esto populo,CH-SGs
471654,,Domine deus virtutum convertere respice ,CH-SGs
471663,,Domine exaudi orationem meam et ,CH-SGs
471667,,Domine in virtute tua laetabitur,CH-SGs
471673,,Domine deus meus in te ,CH-SGs
471750,,Domine in caelo misericordia tua,CH-SGs
471754,,Domine in caelo misericordia tua,CH-SGs
471792,,Domine deus meus in te,CH-SGs
471794,,Domine libera animam meam,CH-SGs
471805,,Domine non est exaltatum cor,CH-SGs
471817,,Domine deus in adjutorium meum,CH-SGs
471850,,Domine deus salutis meae in,CH-SGs
471851,,Domine refugium factus es nobis,CH-SGs
471854,,Domine refugium tu factus es,CH-SGs
471857,,Domine probasti me et cognovisti,CH-SGs
471859,,Domine clamavi ad te exaudi,CH-SGs
471860,,Domine clamavi ad te exaudi,CH-SGs
471876,,Domine audivi auditum tuum et,CH-SGs
471894,,Domine exaudi*,CH-SGs
471895,,Domine exaudi orationem meam,CH-SGs
472202,,Domine quinque*,CH-SGs
472272,,Domine non aspicias peccata mea ,CH-SGs
472358,,Domine audivi auditum tuum et,CH-SGs
472495,,Domine refugium R. Tu factus,CH-SGs
472513,,Domine non habeo hominem ut,CH-SGs
472517,,Domine bonum est nos hic,CH-SGs
472543,,Domine labia mea aperies et,CH-SGs
472548,,Domine dimitte eam quia clamat,CH-SGs
472620,,Domine ut video propheta es,CH-SGs
472679,,Domine si hic fuisses Lazarus,CH-SGs
472710,,Domine labia mea aperies et,CH-SGs
472853,,Domine vim patior responde pro,CH-SGs
472942,,Domine tu mihi lavas pedes,CH-SGs
472943,,Domine non tantum pedes sed ,CH-SGs
473001,,Domine abstraxisti ab inferis animam,CH-SGs
473032,,Domine miserere*,CH-SGs
473036,,Domine miserere*,CH-SGs
473040,,Domine miserere*,CH-SGs
473281,,Domine ostende nobis patrem*,CH-SGs
473297,,Domine ostende nobis patrem et,CH-SGs
473562,,Domine si in tempore hoc,CH-SGs
473753,,Domine si tu es jube ,CH-SGs
474204,,Domine mi rex da mihi ,CH-SGs
474205,,Domine mi rex da mihi ,CH-SGs
474212,,Domine mi rex da mihi,CH-SGs
474521,,Domine Jesu Christe ne despicias,CH-SGs
474580,,Domine qui operati sunt justitiam,CH-SGs
474592,,Domine spes sanctorum et turris,CH-SGs
474594,,Domine deus virtutum beati omnes,CH-SGs
474660,,Domine si adhuc populo tuo ,CH-SGs
474661,,Domine si adhuc in eodem,CH-SGs
474664,,Domine si adhuc populo tuo,CH-SGs
474687,,Domine si adhuc populo tuo,CH-SGs
474777,,Domine Jesu Christe seminator casti,CH-SGs
474796,,Domine Jesu Christe pastor bone,CH-SGs
474813,,Domine Jesu Christe*,CH-SGs
474846,,Domine quinque talenta*,CH-SGs
475171,,Domine dominus noster quam admirabile,CH-SGs
475173,,Domine quinque talenta tradidisti mihi,CH-SGs
475178,,Domine iste sanctus habitabit in,CH-SGs
475214,,Domine quinque talenta tradidisti mihi,CH-SGs
475348,,Domine dilexi decorem domus tuae,CH-SGs
475372,,Domine si conversus*,CH-SGs
475413,,Domine dilexi*,CH-SGs
475418,,Domine dilexi decorem domus tuae,CH-SGs
475437,,Domine qui custodis pactum et,CH-SGs
475438,,Domine si conversus fuerit populus,CH-SGs
475469,,Domine pater et deus vitae,CH-SGs
475470,,Domine pater et deus vitae ,CH-SGs
475575,,Domine deus qui conteris bella ,CH-SGs
475584,,Domine rex omnipotens in ditione,CH-SGs
475589,,Domine deus caeli et terrae ,CH-SGs
475596,,Domine rex omnipotens in ditione,CH-SGs
475754,,Domine factum est ut imperasti,CH-SGs
475815,,Domine descende ut sanes filium,CH-SGs
476350,,Domine si inquiris cordis secreta ,CH-SGs
476356,,Domine deus salutis meae in ,CH-SGs
672681,,Domine deus virtutum converte nos,CH-SGs
672843,,Domine quinque talenta*,CH-SGs
672969,,Domine vivifica me*,CH-SGs
673045,,Domine deus virtutum exaudi preces ,CH-SGs
673048,,Domine refugium factus*,CH-SGs
673075,,Domine deus*,CH-SGs
673088,,Domine deus salutis*,CH-SGs
673089,,Domine deus meus in te*,CH-SGs
673094,,Domine Dominus noster*,CH-SGs
673112,,Domine libera animam meam a ,CH-SGs
673113,,Domine in auxilium meum*,CH-SGs
673139,,Domine quis habitabit*,CH-SGs
673143,,Domine fac mecum*,CH-SGs
673193,,Domine ad adjuvandum*,CH-SGs
673194,,Domine memorabor*,CH-SGs
673217,,Domine convertere*,CH-SGs
673226,,Domine deus meus clamavi ad ,CH-SGs
673256,,Domine ne longe facias*,CH-SGs
673288,,Domine exaudi orationem meam et,CH-SGs
673294,,Domine exaudi*,CH-SGs
673308,,Domine audivi auditum tuum et,CH-SGs
673320,,Domine domine virtus salutis meae,CH-SGs
673367,,Domine probasti me*,CH-SGs
673492,,Domine deus in simplicitate*,CH-SGs
673795,,Domine quinque*,CH-SGs
673874,,Domine praevenisti eum in benedictionibus ,CH-SGs
673905,,Domine quinque*,CH-SGs
673961,,Domine praevenisti*,CH-SGs
673974,,Domine quinque*,CH-SGs
674007,,Domine in tua misericordia*,CH-SGs
674014,,Domine convertere*,CH-SGs
674030,,Domine refugium tu factus es ,CH-SGs
674043,,Domine Dominus noster quam admirabile ,CH-SGs
674074,,Domine in auxilium*,CH-SGs
674075,,Domine memorabor*,CH-SGs
674089,,Domine refugium*,CH-SGs
674106,,Domine refugium factus es nobis,CH-SGs
701194,,Domine convertere et eripe animam ,CH-SGs
701203,,Domine Jesu Christe rex gloriae,CH-SGs
469228,,Domine audivi*,CH-Zz
645858,,Domine deus virtutum converte nos ,CZ-Pst
645877,,Domine deus virtutum*,CZ-Pst
645879,,Domine deus virtutum converte nos,CZ-Pst
645935,,Domine deus virtutum*,CZ-Pst
646026,,Domine audivi auditum tuum et,CZ-Pst
646110,,Domine virtus et laetitia rectorum,CZ-Pst
646137,,Domine libera animam meam a,CZ-Pst
646174,,Domine suscipe me ut cum,CZ-Pst
646313,,Domine audivi auditum tuum et,CZ-Pst
646327,,Domine audivi auditum tuum et,CZ-Pst
646397,,Domine virtus et laetitia*,CZ-Pst
646407,,Domine suscipe me*,CZ-Pst
646444,,Domine audivi auditum*,CZ-Pst
646452,,Domine audivi*,CZ-Pst
646634,,Domine deus meus in te ,CZ-Pst
646637,,Domine ne in ira tua,CZ-Pst
646654,,Domine in virtute tua laetabitur,CZ-Pst
646659,,Domine dilexi decorem domus,CZ-Pst
646663,,Domine deus Israel exaudi preces,CZ-Pst
646716,,Domine in caelo misericordia*,CZ-Pst
646764,,Domine ne in ira tua ,CZ-Pst
646808,,Domine deus in adjutorium meum,CZ-Pst
646822,,Domine refugium factus es nobis,CZ-Pst
646852,,Domine audivi auditionem tuam et,CZ-Pst
646858,,Domine probasti me et cognovisti,CZ-Pst
646860,,Domine clamavi te exaudi me,CZ-Pst
646870,,Domine exaudi*,CZ-Pst
646873,,Domine exaudi orationem meam,CZ-Pst
646892,,Domine ne in ira tua*,CZ-Pst
646916,,Domine si tu vis potes,CZ-Pst
646917,,Domine puer meus jacet paralyticus,CZ-Pst
646918,,Domine non sum dignus ut,CZ-Pst
646922,,Domine in*,CZ-Pst
646940,,Domine exaudi orationem*,CZ-Pst
646948,,Domine ne in ira*,CZ-Pst
646959,,Domine dilexi*,CZ-Pst
646967,,Domine salva nos perimus impera,CZ-Pst
646971,,Domine in caelo misericordia*,CZ-Pst
647016,,Domine in caelo misericordia*,CZ-Pst
647190,,Domine non secundum peccata*,CZ-Pst
647199,,Domine non secundum peccata nostra,CZ-Pst
647203,,Domine puer meus jacet paralyticus,CZ-Pst
647205,,Domine non sum dignus ut,CZ-Pst
647208,,Domine exaudi orationem meam*,CZ-Pst
647227,,Domine deus salutis meae in,CZ-Pst
647287,,Domine non secundum peccata*,CZ-Pst
647358,,Domine labia mea aperies et,CZ-Pst
647366,,Domine dimitte*,CZ-Pst
647558,,Domine ut video propheta es,CZ-Pst
647634,,Domine si hic fuisses Lazarus,CZ-Pst
647731,,Domine labia mea aperies et,CZ-Pst
647857,,Domine vim patior responde mihi,CZ-Pst
647933,,Domine miserere nobis,CZ-Pst
647937,,Domine miserere nobis,CZ-Pst
647940,,Domine miserere nobis,CZ-Pst
647944,,Domine miserere*,CZ-Pst
648749,,Domine deus meus*,CZ-Pst
648763,,Domine in cujus conspectu ambulaverunt ,CZ-Pst
648768,,Domine qui custodis pactum et,CZ-Pst
648769,,Domine si conversus fuerit,CZ-Pst
648798,,Domine factum est ut imperasti,CZ-Pst
648804,,Domine si conversus fuerit*,CZ-Pst
648810,,Domine si conversus fuerit*,CZ-Pst
648816,,Domine si conversus fuerit*,CZ-Pst
648839,,Domine pater et deus vitae,CZ-Pst
648842,,Domine pater et deus vitae,CZ-Pst
648933,,Domine deus exercituum magne,CZ-Pst
648934,,Domine deus qui conteris,CZ-Pst
648936,,Domine rex omnipotens in,CZ-Pst
649012,,Domine descende ut sanes filium,CZ-Pst
649158,,Domine exaudi orationem*,CZ-Pst
649166,,Domine ne in ira tua*,CZ-Pst
649178,,Domine salva nos perimus*,CZ-Pst
649199,,Domine exaudi orationem meam*,CZ-Pst
649257,,Domine dimitte eam quia clamat,CZ-Pst
649331,,Domine abstraxisti ab inferis animam,CZ-Pst
649341,,Domine si in tempore hoc,CZ-Pst
461338,,Domine libera animam meam a,CZ-Pu
461423,,Domine dominus noster quam,CZ-Pu
461426,,Domine quinque talenta tradidisti mihi ,CZ-Pu
461432,,Domine iste sanctus habitabit in ,CZ-Pu
461489,,Domine quinque talenta tradidisti mihi ,CZ-Pu
461512,,Domine iste sanctus habitabit,CZ-Pu
461528,,Domine quinque talenta,CZ-Pu
461792,,Domine deus virtutum converte,CZ-Pu
462086,,Domine deus virtutum converte nos,CZ-Pu
462241,,Domine audivi auditum tuum et,CZ-Pu
462251,,Domine audivi auditum tuum et,CZ-Pu
462553,,Domine audivi auditum tuum et,CZ-Pu
462575,,Domine iste sanctus*,CZ-Pu
462745,,Domine audivi*,CZ-Pu
462865,,Domine quinque talenta,CZ-Pu
462899,,Domine si tu vis potes,CZ-Pu
462900,,Domine puer meus jacet paralyticus,CZ-Pu
462901,,Domine non sum dignus ut,CZ-Pu
462905,,Domine salva nos perimus impera,CZ-Pu
462906,,Domine salva nos perimus impera,CZ-Pu
462913,,Domine in virtute tua laetabitur,CZ-Pu
462917,,Domine ne in ira tua,CZ-Pu
462940,,Domine dilexi decorem domus tuae,CZ-Pu
462950,,Domine deus Israel exaudi preces,CZ-Pu
462990,,Domine ne in ira tua,CZ-Pu
463000,,Domine in caelo misericordia tua,CZ-Pu
463003,,Domine in caelo misericordia tua,CZ-Pu
463050,,Domine deus meus in te,CZ-Pu
463078,,Domine deus in adjutorium meum,CZ-Pu
463106,,Domine deus propitius esto populo,CZ-Pu
463109,,Domine deus virtutum convertere respice,CZ-Pu
463117,,Domine refugium factus es nobis,CZ-Pu
463120,,Domine refugium factus es nobis,CZ-Pu
463126,,Domine probasti me et cognovisti,CZ-Pu
463128,,Domine clamavi ad te exaudi,CZ-Pu
463169,,Domine exaudi R. Orationem meam,CZ-Pu
463170,,Domine exaudi orationem meam et,CZ-Pu
463198,,Domine ne in ira t*,CZ-Pu
463217,,Domine quinque tal*,CZ-Pu
463584,,Domine iste sanctus*,CZ-Pu
463734,,Domine non aspicias peccata mea,CZ-Pu
464006,,Domine refugium R. Tu factus,CZ-Pu
464035,,Domine non habeo hominem ut,CZ-Pu
464039,,Domine bonum est nos hic,CZ-Pu
464075,,Domine labia mea aperies et,CZ-Pu
464083,,Domine dimitte eam quia clamat,CZ-Pu
464162,,Domine ut video propheta es,CZ-Pu
464229,,Domine si hic fuisses Lazarus,CZ-Pu
464239,,Domine deus meus in te,CZ-Pu
464261,,Domine labia mea aperies et,CZ-Pu
464375,,Domine vim patior responde pro,CZ-Pu
467015,,Domine deus virtutum*,CZ-Pu
467025,,Domine deus virtutum converte,CZ-Pu
467182,,Domine deus virtutum converte,CZ-Pu
467321,,Domine audivi auditum tuum et,CZ-Pu
467331,,Domine audivi auditum tuum et,CZ-Pu
467454,,Domine suscipe me ut cum,CZ-Pu
467550,,Domine audivi auditum tuum et,CZ-Pu
467679,,Domine si tu vis potes ,CZ-Pu
467680,,Domine puer meus jacet,CZ-Pu
467681,,Domine non sum dignus ut,CZ-Pu
467685,,Domine salva nos perimus,CZ-Pu
467688,,Domine ne in ira tua ,CZ-Pu
467705,,Domine dilexi decorem domus,CZ-Pu
467715,,Domine deus Israel exaudi,CZ-Pu
467727,,Domine ne in ira tua ,CZ-Pu
467746,,Domine deus propitius esto,CZ-Pu
467749,,Domine deus virtutum,CZ-Pu
467758,,Domine exaudi orationem meam,CZ-Pu
468217,,Domine audivi auditum tuum et,CZ-Pu
468400,,Domine non habeo hominem ut,CZ-Pu
468404,,Domine bonum est nos hic ,CZ-Pu
468434,,Domine labia mea aperies et,CZ-Pu
468443,,Domine dimitte eam quia,CZ-Pu
468515,,Domine ut video propheta es,CZ-Pu
468578,,Domine si hic fuisses Lazarus,CZ-Pu
468585,,Domine deus meus in te,CZ-Pu
468605,,Domine labia mea aperies et,CZ-Pu
468705,,Domine vim patior responde,CZ-Pu
468762,,Domine miserere,CZ-Pu
468766,,Domine miserere,CZ-Pu
468770,,Domine*,CZ-Pu
468823,,Domine abstraxisti ab inferis,CZ-Pu
468867,,Domine dominus noster quam*,CZ-Pu
468959,,Domine adjuva me sana filiam,CZ-Pu
469509,,Domine si adhuc populo tuo,CZ-Pu
469552,,Domine Jesu Christe seminator casti,CZ-Pu
469562,,Domine Jesu Christe pastor bone,CZ-Pu
469642,,Domine Jesu Christe magister,CZ-Pu
469894,,Domine libera animam meam a,CZ-Pu
469916,,Domine dominus noster quam,CZ-Pu
469918,,Domine quinque talenta tradidisti mihi,CZ-Pu
469923,,Domine iste sanctus habitabit in,CZ-Pu
469970,,Domine quinque talenta tradidisti mihi,CZ-Pu
470063,,Domine qui custodis pactum et,CZ-Pu
470064,,Domine si conversus fuerit,CZ-Pu
470091,,Domine pater et deus vitae,CZ-Pu
470092,,Domine pater et deus vitae,CZ-Pu
470180,,Domine deus qui conteris,CZ-Pu
470183,,Domine deus exercituum magne et,CZ-Pu
470190,,Domine rex omnipotens in,CZ-Pu
470195,,Domine deus caeli et terrae,CZ-Pu
470282,,Domine factum est ut imperasti,CZ-Pu
470351,,Domine descende ut sanes filium,CZ-Pu
178951,,Domine deus virtutum*,D-AAm
179076,,Domine deus virtutum converte,D-AAm
179221,,Domine audivi auditum tuum et,D-AAm
179289,,Domine virtus et laetitia,D-AAm
179307,,Domine libera animam meam a,D-AAm
179311,,Domine suscipe me ut cum,D-AAm
179335,,Domine suscipe me*,D-AAm
179632,,Domine ne in ira tua ,D-AAm
179653,,Domine in virtute tua,D-AAm
179662,,Domine dilexi decorem domus,D-AAm
179672,,Domine exaudi preces,D-AAm
179702,,Domine in caelo*,D-AAm
179744,,Domine ne in ira tua ,D-AAm
179785,,Domine deus in adjutorium,D-AAm
179799,,Domine refugium factus es,D-AAm
179827,,Domine audivi auditionem tuam,D-AAm
179831,,Domine probasti me et,D-AAm
179833,,Domine clamavi ad te exaudi,D-AAm
179843,,Domine exaudi*,D-AAm
179846,,Domine exaudi orationem meam,D-AAm
179860,,Domine si tu vis potes ,D-AAm
179863,,Domine salva nos perimus,D-AAm
179983,,Domine puer meus jacet,D-AAm
179984,,Domine non sum dignus ut,D-AAm
180030,,Domine refugium*,D-AAm
180058,,Domine bonum est nos hic ,D-AAm
180065,,Domine dimitte eam quia,D-AAm
180089,,Domine labia mea aperies et,D-AAm
180095,,Domine refugium*,D-AAm
180179,,Domine ut video propheta es,D-AAm
180231,,Domine refugium*,D-AAm
180247,,Domine si hic fuisses Lazarus,D-AAm
180256,,Domine deus meus in te,D-AAm
180287,,Domine labia mea aperies et,D-AAm
180331,,Domine deus meus in te*,D-AAm
180392,,Domine vim patior responde,D-AAm
180448,,Domine miserere,D-AAm
180452,,Domine miserere,D-AAm
180456,,Domine*,D-AAm
180469,,Domine tu mihi lavas pedes,D-AAm
180470,,Domine non tantum pedes meos,D-AAm
180532,,Domine abstraxisti ab inferis,D-AAm
180617,,Domine si tu sustulisti eum,D-AAm
180841,,Domine si in tempore hoc,D-AAm
181076,,Domine qui custodis pactum et,D-AAm
