id,title,institution_siglum,shelfmark,provenance_notes
123693,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [05] V",DK-Kk,Gl. Kgl. S. 3449 8o [05] V,
123694,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [06] VI",DK-Kk,Gl. Kgl. S. 3449 8o [06] VI,
123695,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [07] VII",DK-Kk,Gl. Kgl. S. 3449 8o [07] VII,
123696,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [08] VIII",DK-Kk,Gl. Kgl. S. 3449 8o [08] VIII,
123697,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [09] IX",DK-Kk,Gl. Kgl. S. 3449 8o [09] IX,
123698,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [10] X",DK-Kk,Gl. Kgl. S. 3449 8o [10] X,
123699,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [11] XI",DK-Kk,Gl. Kgl. S. 3449 8o [11] XI,
123700,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [12] XII",DK-Kk,Gl. Kgl. S. 3449 8o [12] XII,
123701,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [13] XIII",DK-Kk,Gl. Kgl. S. 3449 8o [13] XIII,
123702,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [14] XIV",DK-Kk,Gl. Kgl. S. 3449 8o [14] XIV,
123703,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [15] XV",DK-Kk,Gl. Kgl. S. 3449 8o [15] XV,
123704,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [16] XVI",DK-Kk,Gl. Kgl. S. 3449 8o [16] XVI,
123705,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [17] XVII",DK-Kk,Gl. Kgl. S. 3449 8o [17] XVII,
123689,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [01] I",DK-Kk,"Gl. Kgl. S. 3449, 8o [01] I",
123636,"Salamanca, Catedral - Archivo Musical, 5",E-SA,5,
123650,"Salamanca, Catedral - Archivo Musical, 6",E-SA,6,
123651,"Salamanca, Catedral - Archivo Musical, 7",E-SA,7,
123652,"Salamanca, Catedral - Archivo Musical, 8",E-SA,8,
123638,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.1",E-Tc,44.1,
123639,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.2",E-Tc,44.2,
1000014,"Zamora, Archivo Histórico Provincial de Zamora, AHP 'Book 1'",E-ZAahp,AHP 'Book 1',
669907,"Quito, Iglesia de San Francisco - Archivo, 18P16",EC-Qsf,18P16,
672452,"Quito, Iglesia de San Francisco - Archivo, 4",EC-Qsf,4,
673703,"Quito, Iglesia de San Francisco - Archivo, 8",EC-Qsf,8,
123679,"Albi, Bibliothèque municipale Rochegude, 44",F-AI,44,
123593,"Arras, Mediathèque de l'Abbaye Saint-Vaast, 465 (CGM 893)",F-AS,465 (CGM 893),Saint-Vaast d'Arras
123601,"Cambrai, Bibliothèque municipale, 38 (olim 40)",F-CA,38 (olim 40),
123602,"Cambrai, Bibliothèque municipale, Impr. XVI C 4",F-CA,Impr. XVI C 4,
672072,"Grenoble, Bibliothèque Municipale, ms. 867 (91)",F-G,ms. 867 (91),
1000011,"Orléans, Bibliothèque municipale, Ms. 64 (61)",F-O,Ms. 64 (61),
675815,"Paris, Bibliothèque Nationale de France, 12054",F-Pn,12054,
123663,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085",F-Pn,Latin 1085,
123627,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090",F-Pn,Latin 1090,
676377,"Paris, Bibliothèque nationale de France - Département des manuscrits, Latin 1112",F-Pn,Latin 1112,
701002,"Paris, Bibliothèque nationale de France, Latin 11411, ff. 37-38",F-Pn,"Latin 11411, ff. 37-38",
123628,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044",F-Pn,Latin 12044,
123629,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1240",F-Pn,Latin 1240,
123630,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12601",F-Pn,Latin 12601,
123631,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15181",F-Pn,Latin 15181,Notre Dame Cathedral
123632,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15182",F-Pn,Latin 15182,Notre Dame Cathedral
664930,"Paris, Bibliothèque Nationale de France, Latin 776",F-Pn,Latin 776,
666639,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 776",F-Pn,Latin 776,
674721,"Paris, Bibliothèque Nationale de France, Latin 8884",F-Pn,Latin 8884,
672486,"Paris, Bibliothèque nationale de France - Département des manuscrits, Latin 943",F-Pn,Latin 943,
701050,"Paris, Bibliothèque nationale de France, Latin 9488, ff. 33-37",F-Pn,"Latin 9488, ff. 33-37",
702113,"Paris, Bibliothèque nationale de France, Latin 9488, ff.42-45",F-Pn,"Latin 9488, ff.42-45",
666487,"Paris, Bibliothèque nationale de France, Ms. lat. 776  (olim Colbert 873 ; Regius 3661)",F-Pn,Ms. lat. 776  (olim Colbert 873 ; Regius 3661),
123677,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 1411",F-Pn,NAL 1411,
123678,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1412",F-Pn,NAL 1412,
123633,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535",F-Pn,NAL 1535,
698765,"Paris, Bibliothèque nationale de France, NAL 2318, ff. 79-80",F-Pn,"NAL 2318, ff. 79-80",
697918,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 2444, f. 50",F-Pn,"NAL 2444, f. 50",
706887,"Paris, Bibliothèque nationale de France, NAL 2444, f.60",F-Pn,"NAL 2444, f.60",
698216,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 2444, ff. 1-2",F-Pn,"NAL 2444, ff. 1-2",
698701,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 21-24",F-Pn,"NAL 2444, ff. 21-24",
701044,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 32-33",F-Pn,"NAL 2444, ff. 32-33",
698647,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 53-55",F-Pn,"NAL 2444, ff. 53-55",
697990,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 7-8, 62-65",F-Pn,"NAL 2444, ff. 7-8, 62-65",
698356,"Paris, Bibliothèque nationale de France, NAL 2444, ff. 9-13",F-Pn,"NAL 2444, ff. 9-13",
699214,"Paris, Bibliothèque nationale de France, NAL 2482, f. 5",F-Pn,"NAL 2482, f. 5",
702228,"Paris, Bibliothèque nationale de France, NAL 2482, ff. 7-16",F-Pn,"NAL 2482, ff. 7-16",
123662,"Rouen, Bibliothèque municipale, 248 (olim  A. 339)",F-R,248 (olim  A. 339),
620437,"Solesmes, Abbaye de Saint-Pierre, 596 (The Wilton Processional)",F-SO,596 (The Wilton Processional),
123747,"Troyes, Bibliothèque municipale, 571",F-T,571,
123640,"Tours, Bibliothèque municipale, 149",F-TOm,149,
123642,"Valenciennes, Bibliothèque municipale, 114",F-VAL,114,
714807,"Helsinki, National Library, F.m.I.17",FIN-Hy,F.m.I.17,
1000066,"Helsinki, National Library, F.m.I.234",FIN-Hy,F.m.I.234,
1000042,"Helsinki, National Library, F.m.I.240",FIN-Hy,F.m.I.240,
1000041,"Helsinki, National Library, F.m.I.242",FIN-Hy,F.m.I.242,
1000043,"Helsinki, National Library, F.m.I.243",FIN-Hy,F.m.I.243,
1000067,"Helsinki, National Library, F.m.I.244",FIN-Hy,F.m.I.244,
1000045,"Helsinki, National Library, F.m.I.248",FIN-Hy,F.m.I.248,
1000046,"Helsinki, National Library, F.m.I.250",FIN-Hy,F.m.I.250,
1000051,"Helsinki, National Library, F.m.I.251",FIN-Hy,F.m.I.251,
1000052,"Helsinki, National Library, F.m.I.252",FIN-Hy,F.m.I.252,
1000065,"Helsinki, National Library, F.m.I.254",FIN-Hy,F.m.I.254,
711225,"Helsinki, National Library, F.m.I.26",FIN-Hy,F.m.I.26,
711204,"Helsinki, National Library, F.m.I.29",FIN-Hy,F.m.I.29,
712830,"Helsinki, National Library, F.m.I.85",FIN-Hy,F.m.I.85,"A missal of unknown origin, almost certainly used in South-West Finland at the end of the Middle Ages. This attribution is based on the patterns of its sixteenth-century reuse as cover material for tax records. The earliest association to tax records is to tithe accounts from Paimio (Swe. Pemar). It is very likely that the book belonged to the parish church of Paimio, or possibly that of the close by parishes Piikkiö or Sauvo."
1000012,"Helsinki, National Library, F.m.I.86",FIN-Hy,F.m.I.86,
711232,"Helsinki, National Library, F.m.II.44",FIN-Hy,F.m.II.44,
714693,"Helsinki, National Library, F.m.IV.132",FIN-Hy,F.m.IV.132,
711223,"Helsinki, National Library, MS A.ö.II.41",FIN-Hy,MS A.ö.II.41,
123592,"Aberystwyth, Llyfrgell Genedlaethol Cymru (National Library of Wales), 20541 E",GB-AB,20541 E,
674988,"Cambridge, Corpus Christi College, MS. 146",GB-Ccc,MS. 146,
1000017,"Cambridge, Fitzwilliam Museum, MS 369",GB-Cfm,MS 369,
123603,"Cambridge, University Library, Mm.ii.9",GB-Cu,Mm.ii.9,
710370,"Leeds, Central Library, F-njql",GB-LEc,F-njql,
710572,"Leeds, Central Library, F-rc2m",GB-LEc,F-rc2m,
705175,"Liverpool, Liverpool University Library Special Collections & Archives, Inc.P12/C Antiphoner",GB-LVu,Inc.P12/C Antiphoner,
702624,"Liverpool, Liverpool University Library Special Collections & Archives, MS.Ed.7-10",GB-LVu,MS.Ed.7-10,
637892,"London, British Library, Additional 23935",GB-Lbl,Additional 23935,
673643,"London, British Library, Additional Collection, MS. 57337",GB-Lbl,"Additional Collection, MS. 57337",
1000015,"London, British Library, Additional MSS 43405 and 43406",GB-Lbl,Additional MSS 43405 and 43406,"Muchelney Abbey, Somerset, England"
123668,"London, British Library, printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",GB-Lbl,"printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)",
712829,"Newcastle upon Tyne, Philip Robinson Library, ROB405",GB-NTu,ROB405,
123687,"Oxford, Bodleian Library, MS. Canon. Liturg. 202",GB-Ob,MS. Canon. Liturg. 202,
680956,"Oxford, Bodleian Library, MS. Lat. liturg. b. 14",GB-Ob,MS. Lat. liturg. b. 14,
709880,"Oxford, Bodleian Library, MS. Lat. liturg. e. 13",GB-Ob,MS. Lat. liturg. e. 13,
123707,"Oxford, Bodleian Library, MS. Laud Misc. 284",GB-Ob,MS. Laud Misc. 284,
711344,"Oxford, Jesus College, MS. 4",GB-Ojec,MS. 4,
123646,"Worcester, Cathedral - Music Library, F.160 (olim 1247) (facsimile)",GB-WO,F.160 (olim 1247) (facsimile),
123647,"Worcester, Cathedral - Music Library, F.160 (olim 1247) (with hymnal)",GB-WO,F.160 (olim 1247) (with hymnal),
702575,"Budapest, Magyar Tudományos Akadémia Könyvtár és Információs Központ, T 174",H-Ba,T 174,
123597,"Budapest, Egyetemi Könyvtár (University Library), lat. 118",H-Bu,lat. 118,
123598,"Budapest, Egyetemi Könyvtár (University Library), lat. 119",H-Bu,lat. 119,
123599,"Budapest, Egyetemi Könyvtár (University Library), lat. 121",H-Bu,lat. 121,
123600,"Budapest, Egyetemi Könyvtár (University Library), lat. 122",H-Bu,lat. 122,
123737,"Dubrovnik, Franjevacki samostan, Codex Badija III",HR-Dsmbb,Codex Badija III,
123738,"Dubrovnik, Franjevacki samostan, Codex Badija V",HR-Dsmbb,Codex Badija V,
123739,"Dubrovnik, Franjevacki samostan, Codex Badija X",HR-Dsmbb,Codex Badija X,
123740,"Dubrovnik, Franjevacki samostan, Codex Badija XI",HR-Dsmbb,Codex Badija XI,
123719,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. C Nr. 4",HR-Hf,Cod. C Nr. 4,
123720,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. D Nr. 5",HR-Hf,Cod. D Nr. 5,
123721,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. E Nr. 3",HR-Hf,Cod. E Nr. 3,
123722,"Dubrovnik, Franjevački Samostan (Franciscan Monastery), Cod. F Nr. 6",HR-Hf,Cod. F Nr. 6,
691025,"Zagreb, Metropolitanska Knjižnica, MR 72",HR-Zmk,MR 72,
123666,"Aosta, Seminario Maggiore - Biblioteca, 6",I-AO,6,
1000078,"Aosta, Biblioteca del Seminario Maggiore, Cod. 11",I-AO,Cod. 11,Aosta Cathedral
1000079,"Aosta, Biblioteca del Seminario Maggiore, Cod. 13",I-AO,Cod. 13,
123670,"Assisi, Biblioteca Comunale, 693",I-Ac,693,
123669,"Assisi, Biblioteca Comunale, 694",I-Ac,694,
123675,"Assisi, Cattedrale San Rufino - Archivio e Biblioteca, 5",I-Ad,5,
123595,"Benevento, Biblioteca capitolare, V 19",I-BV,V 19,
123596,"Benevento, Biblioteca capitolare, V 20",I-BV,V 20,
1000077,"Cividale, Museo Archeologico Nazionale, LVI",I-CFm,LVI,Cathedral
123604,"Chiavenna, Tesoro della Collegiata di S. Lorenzo - Museo Capitolare, s.c.",I-CHV,s.c.,
123607,"Firenze (Florence), Arcivescovado - Biblioteca, s.c.",I-Far,s.c.,
123608,"Firenze (Florence), Biblioteca Medicea-Laurenziana, Conv. sopp. 560",I-Fl,Conv. sopp. 560,
123680,"Lucca, Biblioteca Capitolare Feliniana e Biblioteca Arcivescovile, 601",I-Lc,601,
671867,"Lucca, Biblioteca Arcivescovile, MS 5",I-Lcr,MS 5,
123625,"Montecassino, Monumento Nazionale di Montecassino - Biblioteca, 542",I-MC,542,
123626,"Monza, Biblioteca capitolare, 15/79",I-MZ,15/79,
712326,"Naples, Biblioteca Nazionale Vittorio Emanuele III, VI.g.38",I-Nn,VI.g.38,
712790,"Naples, Biblioteca Nazionale Vittorio Emanuele III, XVI AA 39",I-Nn,XVI AA 39,
123674,"Naples, Biblioteca Nazionale Vittorio Emanuele III, vi. E. 20",I-Nn,vi. E. 20,
123634,"Piacenza, Archivio e Biblioteca Capitolare della Cattedrale, cod. 65",I-PCd,cod. 65,
690764,"Padova, Biblioteca Capitolare, B16*",I-Pc,B16*,
672573,"Padova, Biblioteca Capitolare, MS C.55",I-Pc,MS C.55,
690740,"Padova, Biblioteca del Seminario vescovile, 697",I-Ps,697,
674599,"Rome, Santa Sabina - Archivum Generale Ordinis Praedicatorum, XIV L1",I-Rss,XIV L1,
123755,"Rome, Santa Sabina - Archivum Generale Ordinis Praedicatorum, XIV L1 (""Humbert"" codex)",I-Rss,"XIV L1 (""Humbert"" codex)",
123635,"Roma, Biblioteca Vallicelliana, C.5",I-Rv,C.5,
701804,"Schio, Biblioteca Civica, cod. 10 (E)",I-SCHc,cod. 10 (E),
674494,"Udine, Biblioteca del Seminario Arcivescovile, Codice 7",I-UDs,Codice 7,
123766,"Vercelli, Biblioteca Capitolare, CLXX",I-VCd,CLXX,
123758,"Vercelli, Biblioteca Capitolare, LXII",I-VCd,LXII,
123763,"Vercelli, Biblioteca Capitolare, LXIV",I-VCd,LXIV,
123762,"Vercelli, Biblioteca Capitolare, LXX",I-VCd,LXX,
123765,"Vercelli, Biblioteca Capitolare, LXXIX",I-VCd,LXXIX,
123764,"Vercelli, Biblioteca Capitolare, XXXVII",I-VCd,XXXVII,
689850,"Venezia, Biblioteca della Fondazione Ugo e Olga Levi “Gianni Milner”, CF D 21",I-Vlevi,CF D 21,
1000035,"Venezia, Biblioteca Nazionale Marciana, RARI VEN. 709",I-Vnm,RARI VEN. 709,
1000037,"Venezia, Biblioteca Nazionale Marciana, Rari Ven. 710-713",I-Vnm,Rari Ven. 710-713,
1000036,"Venezia, Biblioteca Nazionale Marciana, Rari Ven. 711",I-Vnm,Rari Ven. 711,
701895,"Dublin, Royal Society of Antiquaries of Ireland, Box 41 #38",IRL-Dsa,Box 41 #38,
1000104,Trinity College Dublin,IRL-Dtc,78,
1000096,"Oslo, Norwegian Riks Arkivet, Ms.lat.fragm. 11 Antiphonarium",N-Ora,Ms.lat.fragm. 11 Antiphonarium,
1000095,"Oslo, Norwegian Riks Arkivet, Ms.lat.fragm. 15",N-Ora,Ms.lat.fragm. 15,
123657,"Den Haag, Koninklije Bibliotheek, 70 E 4",NL-DHk,70 E 4,
666893,"Den Haag, Koninklije Bibliotheek, 76 E 18",NL-DHk,76 E 18,
123641,"Utrecht, Universiteitsbibliotheek, Ms. 406 (shelfmark 3 J 7)",NL-Uu,Ms. 406 (shelfmark 3 J 7),
123753,"Utrecht, Universiteitsbibliotheek, Ms. fr. 4.3",NL-Uu,Ms. fr. 4.3,"St. Paul's Abbey, Antiphonary Fragments. Formerly under ""St P Fragm01""."
123648,"Zutphen, Stadsarchief en Stedelijke Bibliotheek, 6",NL-ZUa,6,
599679,"Wellington (New Zealand), The Alexander Turnbull Library - Rare Books, MSR-03",NZ-Wt,MSR-03,
123726,"Braga, Biblioteca Pública, 1",P-BRp,1,
123734,"Braga, Biblioteca Pública, ADB 949 (Braga Codex)",P-BRp,ADB 949 (Braga Codex),
123732,"Braga, Arquivo da Sé, 18",P-BRs,18,
123728,"Braga, Arquivo da Sé, 23",P-BRs,23,
123752,"Braga, Arquivo da Sé, Antiphoner from the Cathedral of Braga, nº32",P-BRs,"Antiphoner from the Cathedral of Braga, nº32",
123749,"Coimbra, Biblioteca Geral da Universidade, MM45",P-Cug,MM45,
123729,"Lamego, Arquivo da Sé, 1084 4-b",P-LA,1084 4-b,
123591,"Porto, Biblioteca Municipal, 1151",P-Pm,1151,
123736,"Kielce, Biblioteka Kapituły Katedralnej, Ms. 1",PL-KIk,Ms. 1,
123686,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.1 (rkp. Perg. 12)",PL-Kkar,Ms.1 (rkp. Perg. 12),
123708,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.2 (rkp. Perg. 14)",PL-Kkar,Ms.2 (rkp. Perg. 14),
123709,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.3 (rkp. Perg. 15)",PL-Kkar,Ms.3 (rkp. Perg. 15),
123710,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.4 (rkp. Perg. 20)",PL-Kkar,Ms.4 (rkp. Perg. 20),
123711,"Kraków, Klastor OO. Karmelitów na Piasku (Carmelite Convent), Ms.5 (rkp. Perg. 13)",PL-Kkar,Ms.5 (rkp. Perg. 13),
589069,"Wroclaw, Biblioteka Uniwersytecka, I F 401",PL-WRu,I F 401,
123756,"Wroclaw, Biblioteka Uniwersytecka, Ms. R 503",PL-WRu,Ms. R 503,
123712,"Wrocław, Zakład Narodowy im. Ossolińskich - Biblioteka, Rkp. 12025/IV",PL-WRzno,Rkp. 12025/IV,
702510,"Cluj-Napoca, Biblioteca Academiei Române, BMV R.12",RO-Ca,BMV R.12,
700994,"Cluj-Napoca, Biblioteca Academiei Române, F. 45047",RO-Ca,F. 45047,
1000069,"Umeå, University Library, Ink. 4",S-UMsdl,Ink. 4,
1000068,"Umeå, University Library, Östergren F 00648: 1-3",S-UMsdl,Östergren F 00648: 1-3,German Switzerland
123618,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 18 (olim 17)",SI-Lna,18 (olim 17),
123659,"Ljubljana, Nadškofijski arhiv (Archiepiscopal Archives), 19 (olim 18)",SI-Lna,19 (olim 18),
123742,"Bratislava, Archív hlavného mesta SR Bratislavy, EC Lad. 4, ba (Bratislava Antiphonary IIb)",SK-BRm,"EC Lad. 4, ba (Bratislava Antiphonary IIb)",
1000040,"New Taipei City, Fu Jen University, Book 1, Test - Chinese Catholic Plainchant",T-NTCfj,"Book 1, Test - Chinese Catholic Plainchant",
123706,"Istanbul, Topkapı Sarayı Müzesi, Deissmann 42",TR-Itks,Deissmann 42,
709973,"Austin, Harry Ransom Center, 21",US-AUS,21,
673035,"Austin, Harry Ransom Center, HRC 13",US-AUS,HRC 13,
710075,"Austin, Harry Ransom Center, HRC 145",US-AUS,HRC 145,
673084,"Austin, Harry Ransom Center, HRC Leaf A29",US-AUS,HRC Leaf A29,
672574,"Austin, Harry Ransom Center, HRC Leaf A36",US-AUS,HRC Leaf A36,
672993,"Austin, Harry Ransom Center, HRC Leaf A37",US-AUS,HRC Leaf A37,
673018,"Austin, Harry Ransom Center, HRC Leaf A38",US-AUS,HRC Leaf A38,
673021,"Austin, Harry Ransom Center, HRC Leaf A39",US-AUS,HRC Leaf A39,
673031,"Austin, Harry Ransom Center, HRC Leaf A40",US-AUS,HRC Leaf A40,
710074,"Austin, Harry Ransom Center, Leaf A 29",US-AUS,Leaf A 29,
1000026,"Austin, Harry Ransom Center, Leaf A 30",US-AUS,Leaf A 30,
1000038,"Austin, Harry Ransom Center, Leaf A 30",US-AUS,Leaf A 30,Donated by Mrs. Robert Gordon Crosby
638296,"Augusta (GA), Augusta-Richmond County Library, GR/MS.020",US-Augusta,GR/MS.020,
702358,"Baltimore, Walters Art Museum, W 759",US-BAw,W 759,
702359,"Baltimore, Walters Art Museum, W 760",US-BAw,W 760,
588733,"Bryn Mawr, Bryn Mawr College Special Collection, 50",US-BM,50,
712970,"Boston, Boston Public Library, RARE BKS MS pb Med. 156",US-Bpr,RARE BKS MS pb Med. 156,
712976,"Cambridge (MA), Harvard University - Houghton Library, MS typ 963",US-CAh,MS typ 963,
656252,"Chestnut Hill (MA), Boston College University Libraries - John J. Burns Library, MS.1996.097",US-CHNbcbl,MS.1996.097,
701328,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 02",US-CON,CA 02,
701335,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 04",US-CON,CA 04,
701081,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 06",US-CON,CA 06,
701096,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 07",US-CON,CA 07,
701107,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 09",US-CON,CA 09,
701209,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 12",US-CON,CA 12,
701618,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 13",US-CON,CA 13,
701637,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 14",US-CON,CA 14,
701871,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 15",US-CON,CA 15,
701917,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 16",US-CON,CA 16,
701937,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 17",US-CON,CA 17,
701971,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 18",US-CON,CA 18,
701991,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 22",US-CON,CA 22,
702005,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 23",US-CON,CA 23,
701262,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 24",US-CON,CA 24,
702061,"Conception (MO), Conception Abbey and Seminary - Special Collections,  CA 33",US-CON,CA 33,
710076,"College Park, Booklab at University of Maryland, 9 (nzi0)",US-CPbl,9 (nzi0),
1000076,"College Park (USA), University of Maryland - Michelle Smith Performing Arts Library, s.n.","US-CPpa,",s.n.,Spain?
669030,"Chicago, Art Institute of Chicago - Mrs. William E. Kelley Collection, 1911.142b",US-Cai,1911.142b,
123671,"Chicago, The Newberry Library, 24",US-Cn,24,
1000060,"Denton (USA), UNT College of Music Special Collections, D-03e8a",US-DN,D:03e8a,
1000058,"Denton (USA), UNT College of Music Special Collections, D-0aehq",US-DN,D:0aehq,
1000062,"Denton (USA), UNT College of Music Special Collections, D-0i04c",US-DN,D:0i04c,Flemish
1000061,"Denton (USA), UNT College of Music Special Collections, D-0pkgx",US-DN,D:0pkgx,
1000059,"Denton (USA), UNT College of Music Special Collections, D-0qcjh",US-DN,D:0qcjh,
1000049,"Hanover (NH), Dartmouth College Library - Rare Books, BX1876 .M37 1550",US-HArscl,BX1876 .M37 1550,
680241,"Hanover (NH), Dartmouth College Library - Rare Books, Rauner Codex MS 003203",US-HArscl,Rauner Codex MS 003203,
1000047,"Hanover (NH), Dartmouth College Library - Rare Books, Rauner Incunabula 106",US-HArscl,Rauner Incunabula 106,
1000048,"Hanover (NH), Dartmouth College Library - Rare Books, Rauner Incunabula 162",US-HArscl,Rauner Incunabula 162,
711199,"Iowa City, University of Iowa Rita Benton Music Library Rare Book Room, M2149.6 1475",US-IO,M2149.6 1475,
712836,"Iowa City, University of Iowa Libraries Special Collections and Archives, MSC0542, xMMS.Po1",US-IOspca,"MSC0542, xMMS.Po1",
699262,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2147.C53 1500z",US-KClbsc,M2147.C53 1500z,
710152,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, M2149.2 .V4 1629",US-KClbsc,M2149.2 .V4 1629,
711115,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 - 5",US-KClbsc,MS 0285 - 5,
711439,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 1",US-KClbsc,MS 0285 Object 1,
711113,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 2",US-KClbsc,MS 0285 Object 2,
711440,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 3",US-KClbsc,MS 0285 Object 3,
711438,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 4",US-KClbsc,MS 0285 Object 4,
711143,"Kansas City (MO), University of Missouri-Kansas City - LaBudde Special Collections - Miller Nichols Library, MS 0285 Object 5-6",US-KClbsc,MS 0285 Object 5-6,
712288,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 1",US-Mu,BX1999.85.82 1562 Volume 1,
712319,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 2",US-Mu,BX1999.85.82 1562 Volume 2,
712320,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 3",US-Mu,BX1999.85.82 1562 Volume 3,
1000039,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 4",US-Mu,BX1999.85.82 1562 Volume 4,Possibly Burgos Las Huelgas.
1000044,"Milwaukee, Raynor Archive at Marquette University, BX1999.85.82 1562 Volume 9",US-Mu,BX1999.85.82 1562 Volume 9,Possibly Burgos Las Huelgas.
123767,"Notre Dame, University of Notre Dame - Music Library, Lat. a. 12",US-NDu,Lat. a. 12,Dominican Office of the Dead
123744,"Notre Dame, University of Notre Dame - Music Library, lat. b.4",US-NDu,lat. b.4,Carthusian Diurnal
604043,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Plimpton MS 034",US-NYcub,Plimpton MS 034,
589026,"New York City (NY), Columbia University - Rare Book and Manuscript Library, Plimpton MS 041",US-NYcub,Plimpton MS 041,
712946,"New York, Butler Library, Western MS 080",US-NYcub,Western MS 080,
