institution_siglum,source_shelfmark,source_title
D-Mu,MS 2° 156,"München, Universitätsbibliothek, MS 2° 156"
D-MÜu,Hs 41,"Münster, Universitäts- und Landesbibliothek, Hs 41"
D-Rs,4o Liturg. 19,"Regensburg, Staatliche Bibliothek, 4o Liturg. 19"
D-Rtt,F.K. mus. 1/II,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 1/II"
D-Rtt,F.K. mus. 42/II,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 42/II"
D-Rtt,F.K. mus. 43/II,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 43/II"
D-Rtt,F.K. mus. 5/II,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 5/II"
D-Rtt,F.K. mus. 68 & 69,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 68 & 69"
D-Rtt,F.K. mus. 7/11,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 7/11"
D-Rtt,F.K. mus. 84,"Regensburg,  Fürst Thurn und Taxis Hofbibliothek, F.K. mus. 84"
D-Sl,Cod. bibl. 2o 38,"Stuttgart, Württembergische Landesbibliothek, Cod. bibl. 2o 38"
D-Sl,Cod. bibl. 4o 36,"Stuttgart, Württembergische Landesbibliothek, Cod. bibl. 4o 36"
D-Sl,Cod. brev. 160,"Stuttgart, Württembergische Landesbibliothek, Cod. brev. 160"
D-Sl,Cod. mus. 2o 65,"Stuttgart, Württembergische Landesbibliothek, Cod. mus. 2o 65"
D-Sl,"HB I, Asc. 95","Stuttgart, Württembergische Landesbibliothek, HB I, Asc. 95"
D-Sl,HB.I.55,"Stuttgart, Württembergische Landesbibliothek, HB.I.55"
D-Sl,"cod. bibl., 2o 20","Stuttgart, Württembergische Landesbibliothek, cod. bibl., 2o 20"
D-TRb,"Abt. 95, Nr. 5","Trier, Bistumsarchiv, Abt. 95, Nr. 5"
D-TRs,1245 / 597 (original),"Trier, Stadtbibliothek Weberbach, 1245 / 597 (original)"
D-TRs,1245 / 597 (revised),"Trier, Stadtbibliothek Weberbach, 1245 / 597 (revised)"
D-TRs,2254 (Codex Bohm),"Trier, Stadtbibliothek Weberbach, 2254 (Codex Bohm)"
D-TRs,F-2dpf,"Trier, Stadtbibliothek Weberbach, F-2dpf"
D-TRs,F-2ggs,"Trier, Stadtbibliothek Weberbach, F-2ggs"
D-TRs,F-5rkm,"Trier, Stadtbibliothek Weberbach, F-5rkm"
D-TRs,F-661u,"Trier, Stadtbibliothek Weberbach, F-661u"
D-TRs,F-6eoa,"Trier, Stadtbibliothek Weberbach, F-6eoa"
D-TRs,F-76d5,"Trier, Stadtbibliothek Weberbach, F-76d5"
D-TRs,F-7anv,"Trier, Stadtbibliothek Weberbach, F-7anv"
D-TRs,F-7cii,"Trier, Stadtbibliothek Weberbach, F-7cii"
D-TRs,F-7z72,"Trier, Stadtbibliothek Weberbach, F-7z72"
D-TRs,F-82pg,"Trier, Stadtbibliothek Weberbach, F-82pg"
D-TRs,F-87fs,"Trier, Stadtbibliothek Weberbach, F-87fs"
D-TRs,F-87fs,"Trier, Stadtbibliothek Weberbach, F-87fs"
D-TRs,F-8slb,"Trier, Stadtbibliothek Weberbach, F-8slb"
D-TRs,F-a00a,"Trier, Stadtbibliothek Weberbach, F-a00a"
D-TRs,F-a0yk,"Trier, Stadtbibliothek Weberbach, F-a0yk"
D-TRs,F-b2zd,"Trier, Stadtbibliothek Weberbach, F-b2zd"
D-TRs,F-byer,"Trier, Stadtbibliothek Weberbach, F-byer"
D-TRs,F-c34q,"Trier, Stadtbibliothek Weberbach, F-c34q"
D-TRs,F-c8jl,"Trier, Stadtbibliothek Weberbach, F-c8jl"
D-TRs,F-chdk,"Trier, Stadtbibliothek Weberbach, F-chdk"
D-TRs,F-dsjj,"Trier, Stadtbibliothek Weberbach, F-dsjj"
D-TRs,F-dt0m,"Trier, Stadtbibliothek Weberbach, F-dt0m"
D-TRs,F-e2zn,"Trier, Stadtbibliothek Weberbach, F-e2zn"
D-TRs,F-e57b,"Trier, Stadtbibliothek Weberbach, F-e57b"
D-TRs,F-eu4i,"Trier, Stadtbibliothek Weberbach, F-eu4i"
D-TRs,F-f0gp,"Trier, Stadtbibliothek Weberbach, F-f0gp"
D-TRs,F-g5fs,"Trier, Stadtbibliothek Weberbach, F-g5fs"
D-TRs,F-gdjn,"Trier, Stadtbibliothek Weberbach, F-gdjn"
D-TRs,F-ge1j,"Trier, Stadtbibliothek Weberbach, F-ge1j"
D-TRs,F-ghak,"Trier, Stadtbibliothek Weberbach, F-ghak"
D-TRs,F-h16v,"Trier, Stadtbibliothek Weberbach, F-h16v"
D-TRs,F-hii0,"Trier, Stadtbibliothek Weberbach, F-hii0"
D-TRs,F-impb,"Trier, Stadtbibliothek Weberbach, F-impb"
D-TRs,F-irhl,"Trier, Stadtbibliothek Weberbach, F-irhl"
D-TRs,F-izjo,"Trier, Stadtbibliothek Weberbach, F-izjo"
D-TRs,F-jedx,"Trier, Stadtbibliothek Weberbach, F-jedx"
D-TRs,F-k1ip,"Trier, Stadtbibliothek Weberbach, F-k1ip"
D-TRs,F-kabt,"Trier, Stadtbibliothek Weberbach, F-kabt"
D-TRs,F-lcn7,"Trier, Stadtbibliothek Weberbach, F-lcn7"
D-TRs,F-mene,"Trier, Stadtbibliothek Weberbach, F-mene"
D-TRs,F-mzph,"Trier, Stadtbibliothek Weberbach, F-mzph"
D-TRs,F-n8h3,"Trier, Stadtbibliothek Weberbach, F-n8h3"
D-TRs,F-nmyl,"Trier, Stadtbibliothek Weberbach, F-nmyl"
D-TRs,F-onwg,"Trier, Stadtbibliothek Weberbach, F-onwg"
D-TRs,F-ovo6,"Trier, Stadtbibliothek Weberbach, F-ovo6"
D-TRs,F-p6th,"Trier, Stadtbibliothek Weberbach, F-p6th"
D-TRs,F-pjh5,"Trier, Stadtbibliothek Weberbach, F-pjh5"
D-TRs,F-qwjc,"Trier, Stadtbibliothek Weberbach, F-qwjc"
D-TRs,F-rgta,"Trier, Stadtbibliothek Weberbach, F-rgta"
D-TRs,F-sjgk,"Trier, Stadtbibliothek Weberbach, F-sjgk"
D-TRs,F-svu8,"Trier, Stadtbibliothek Weberbach, F-svu8"
D-TRs,F-vwh5,"Trier, Stadtbibliothek Weberbach, F-vwh5"
D-TRs,F-vxn8,"Trier, Stadtbibliothek Weberbach, F-vxn8"
D-TRs,F-w2xh,"Trier, Stadtbibliothek Weberbach, F-w2xh"
D-TRs,F-wr2o,"Trier, Stadtbibliothek Weberbach, F-wr2o"
D-TRs,F-wvbj,"Trier, Stadtbibliothek Weberbach, F-wvbj"
D-TRs,F-x5ki,"Trier, Stadtbibliothek Weberbach, F-x5ki"
D-TRs,F-x6uf,"Trier, Stadtbibliothek Weberbach, F-x6uf"
D-TRs,F-xr2h,"Trier, Stadtbibliothek Weberbach, F-xr2h"
D-TRs,F-xxns,"Trier, Stadtbibliothek Weberbach, F-xxns"
D-TRs,F-yd41,"Trier, Stadtbibliothek Weberbach, F-yd41"
D-TRs,F-yp7r,"Trier, Stadtbibliothek Weberbach, F-yp7r"
D-TRs,F-yv74,"Trier, Stadtbibliothek Weberbach, F-yv74"
D-TRs,F-zsxw,"Trier, Stadtbibliothek Weberbach, F-zsxw"
D-TRs,"Fragmentenbox 12b, 01-22, no. 2b-bis","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, 01-22, no. 2b-bis"
D-TRs,"Fragmentenbox 12b, 23-42, no. 42b","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, 23-42, no. 42b"
D-TRs,"Fragmentenbox 12b, Fragment 01-22  no 13b","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 01-22  no 13b"
D-TRs,"Fragmentenbox 12b, Fragment 01-22, no. 14b","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 01-22, no. 14b"
D-TRs,"Fragmentenbox 12b, Fragment 23-42, 26b","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 23-42, 26b"
D-TRs,"Fragmentenbox 12b, Fragment 23-42, no. 40b","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 23-42, no. 40b"
D-TRs,"Fragmentenbox 12b, Fragment 43-71 no. 64b","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12b, Fragment 43-71 no. 64b"
D-TRs,"Fragmentenbox 12c, Fragment 1-9, no. 2c","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12c, Fragment 1-9, no. 2c"
D-TRs,"Fragmentenbox 12c, Fragment 1-9, no.7c","Trier, Stadtbibliothek Weberbach, Fragmentenbox 12c, Fragment 1-9, no.7c"
D-TRs,MS F-4ij3,"Trier, Stadtbibliothek Weberbach, MS F-4ij3"
D-W,45 (Helmst. 40),"Wolfenbüttel, Herzog August Bibliothek, 45 (Helmst. 40)"
D-W,Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31),"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 28 Helmst. (Heinemann-Nr. 31)"
D-W,Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32),"Wolfenbüttel, Herzog August Bibliothek, Cod. Guelf. 29 Helmst. (Heinemann-Nr. 32)"
D-WIl,2 (Riesencodex),"Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex)"
D-WIl,"2 (Riesencodex), detached lower pastedown","Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex), detached lower pastedown"
D-WIl,"2 (Riesencodex), detached upper pastedown","Wiesbaden, Hochschul- und Landesbibliothek RheinMain, 2 (Riesencodex), detached upper pastedown"
D-WÜu,M. ch. f. 283,"Würzburg, Universitätsbibliothek, M. ch. f. 283"
D-X,H 109,"Xanten, Stiftsarchiv und -bibliothek St. Viktor, H 109"
D-X,H 140 (3),"Xanten, Stiftsarchiv und -bibliothek St. Viktor, H 140 (3)"
DK-Kk,Fragm. 2160,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Fragm. 2160"
DK-Kk,Fragm. 2161,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Fragm. 2161"
DK-Kk,Fragm. 2162,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Fragm. 2162"
DK-Kk,Gl. Kgl. S. 3449 8o [02] II,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [02] II"
DK-Kk,Gl. Kgl. S. 3449 8o [03] III,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [03] III"
DK-Kk,Gl. Kgl. S. 3449 8o [04] IV,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [04] IV"
DK-Kk,Gl. Kgl. S. 3449 8o [05] V,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [05] V"
DK-Kk,Gl. Kgl. S. 3449 8o [06] VI,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [06] VI"
DK-Kk,Gl. Kgl. S. 3449 8o [07] VII,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [07] VII"
DK-Kk,Gl. Kgl. S. 3449 8o [08] VIII,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [08] VIII"
DK-Kk,Gl. Kgl. S. 3449 8o [09] IX,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [09] IX"
DK-Kk,Gl. Kgl. S. 3449 8o [10] X,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [10] X"
DK-Kk,Gl. Kgl. S. 3449 8o [11] XI,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [11] XI"
DK-Kk,Gl. Kgl. S. 3449 8o [12] XII,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [12] XII"
DK-Kk,Gl. Kgl. S. 3449 8o [13] XIII,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [13] XIII"
DK-Kk,Gl. Kgl. S. 3449 8o [14] XIV,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [14] XIV"
DK-Kk,Gl. Kgl. S. 3449 8o [15] XV,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [15] XV"
DK-Kk,Gl. Kgl. S. 3449 8o [16] XVI,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [16] XVI"
DK-Kk,Gl. Kgl. S. 3449 8o [17] XVII,"København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449 8o [17] XVII"
DK-Kk,"Gl. Kgl. S. 3449, 8o [01] I","København (Copenhagen), Det kongelige Bibliotek Slotsholmen, Gl. Kgl. S. 3449, 8o [01] I"
E-Mn,19421,"Madrid, Biblioteca Nacional, 19421"
E-Mn,288,"Madrid, Biblioteca Nacional, 288"
E-Mn,289,"Madrid, Biblioteca Nacional, 289"
E-Mn,V.20-4,"Madrid, Biblioteca Nacional, V.20-4"
E-SA,5,"Salamanca, Catedral - Archivo Musical, 5"
E-SA,6,"Salamanca, Catedral - Archivo Musical, 6"
E-SA,7,"Salamanca, Catedral - Archivo Musical, 7"
E-SA,8,"Salamanca, Catedral - Archivo Musical, 8"
E-Tc,44.1,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.1"
E-Tc,44.2,"Toledo, Catedral - Archivo y Biblioteca Capitulares, 44.2"
E-Tc,ms 35.10,"Toledo, Catedral - Archivo y Biblioteca Capitulares, ms 35.10"
E-Tc,ms 52.11,"Toledo, Catedral - Archivo y Biblioteca Capitulares, ms 52.11"
E-ZAahp,AHP 'Book 1',"Zamora, Archivo Histórico Provincial de Zamora, AHP 'Book 1'"
EC-Qsf,18P16,"Quito, Iglesia de San Francisco - Archivo, 18P16"
EC-Qsf,4,"Quito, Iglesia de San Francisco - Archivo, 4"
EC-Qsf,8,"Quito, Iglesia de San Francisco - Archivo, 8"
F-AI,44,"Albi, Bibliothèque municipale Rochegude, 44"
F-AN,144 (136),"Angers, Bibliothèque municipale, 144 (136)"
F-AS,"437, (1011)","Arras, Bibliothèque municipale, 437, (1011)"
F-AS,"444 (888, sic in AH)","Arras, Bibliothèque municipale, 444 (888, sic in AH)"
F-AS,465 (CGM 893),"Arras, Mediathèque de l'Abbaye Saint-Vaast, 465 (CGM 893)"
F-AUT,28 S,"Autun, Bibliothèque municipale, 28 S"
F-CA,38 (olim 40),"Cambrai, Bibliothèque municipale, 38 (olim 40)"
F-CA,75,"Cambrai, Bibliothèque municipale, 75"
F-CA,Impr. XVI C 4,"Cambrai, Bibliothèque municipale, Impr. XVI C 4"
F-CA,ms 60,"Cambrai, Bibliothèque municipale, ms 60"
F-CA,ms 78(79),"Cambrai, Bibliothèque municipale, ms 78(79)"
F-CHRm,520 (destroyed),"Chartres, Bibliothèque municipale, 520 (destroyed)"
F-CHRm,Ms47,"Chartres, Bibliothèque municipale, Ms47"
F-CO,409,"Colmar, Bibliothèque municipale, 409"
F-DOU,113,"Douai, Bibliothèque municipale, 113"
F-DOU,114,"Douai, Bibliothèque municipale, 114"
F-DOU,69,"Douai, Bibliothèque municipale, 69"
F-DOU,ms. 123,"Douai, Bibliothèque municipale, ms. 123"
F-DOU,ms. 124,"Douai, Bibliothèque municipale, ms. 124"
F-G,ms. 867 (91),"Grenoble, Bibliothèque Municipale, ms. 867 (91)"
F-LA,ms 263,"Laon, Bibliothèque municipale, ms 263"
F-LG,2 (17),"Limoges, Bibliothèque municipale, 2 (17)"
F-LM,437,"Le Mans, Bibliotheque municipale, 437"
F-ME,ms 452,"Metz, Bibliothèque municipale,  ms 452"
F-MO,20,"Montpellier, Bibliotheque municipale, 20"
F-O,129 (107),"Orléans, Bibliothèque municipale, 129 (107)"
F-O,Ms. 64 (61),"Orléans, Bibliothèque municipale, Ms. 64 (61)"
F-PR,12,"Provins, Bibliothèque municipale, 12"
F-Pm,526,"Paris, Bibliotheque Mazarine, 526"
F-Pn,1107,"Paris, Bibliothèque nationale, 1107"
F-Pn,12054,"Paris, Bibliothèque Nationale de France, 12054"
F-Pn,Lat. 1137,"Paris, Bibliothèque nationale, Lat. 1137"
F-Pn,Lat. 1138 & 1338,"Paris, Bibliothèque nationale, Lat. 1138 & 1338"
F-Pn,Lat. 1139,"Paris, Bibliotheque nationale, Lat. 1139"
F-Pn,Lat. 1154,"Paris, Bibliothèque nationale, Lat. 1154"
F-Pn,Lat. 1240,"Paris, Bibliothèque nationale, Lat. 1240"
F-Pn,Lat. 13254,"Paris, Bibliothèque nationale, Lat. 13254"
F-Pn,Lat. 17312,"Paris, Bibliothèque nationale, Lat. 17312"
F-Pn,Lat. 17436,"Paris, Bibliothèque nationale, Lat. 17436"
F-Pn,Latin 1085,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1085"
F-Pn,Latin 1090,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1090"
F-Pn,Latin 1112,"Paris, Bibliothèque nationale de France - Département des manuscrits, Latin 1112"
F-Pn,"Latin 11411, ff. 37-38","Paris, Bibliothèque nationale de France, Latin 11411, ff. 37-38"
F-Pn,Latin 12044,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12044"
F-Pn,Latin 1240,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 1240"
F-Pn,Latin 12601,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 12601"
F-Pn,Latin 15181,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15181"
F-Pn,Latin 15182,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 15182"
F-Pn,Latin 776,"Paris, Bibliothèque Nationale de France, Latin 776"
F-Pn,Latin 776,"Paris, Bibliothèque nationale de France - Département des Manuscrits, Latin 776"
F-Pn,Latin 8884,"Paris, Bibliothèque Nationale de France, Latin 8884"
F-Pn,Latin 943,"Paris, Bibliothèque nationale de France - Département des manuscrits, Latin 943"
F-Pn,"Latin 9488, ff. 33-37","Paris, Bibliothèque nationale de France, Latin 9488, ff. 33-37"
F-Pn,"Latin 9488, ff.42-45","Paris, Bibliothèque nationale de France, Latin 9488, ff.42-45"
F-Pn,Ms. lat. 776  (olim Colbert 873 ; Regius 3661),"Paris, Bibliothèque nationale de France, Ms. lat. 776  (olim Colbert 873 ; Regius 3661)"
F-Pn,NAL 1411,"Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 1411"
F-Pn,NAL 1412,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1412"
F-Pn,NAL 1535,"Paris, Bibliothèque nationale de France - Département des Manuscrits, NAL 1535"
F-Pn,"NAL 2318, ff. 79-80","Paris, Bibliothèque nationale de France, NAL 2318, ff. 79-80"
F-Pn,"NAL 2444, f. 50","Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 2444, f. 50"
F-Pn,"NAL 2444, f.60","Paris, Bibliothèque nationale de France, NAL 2444, f.60"
F-Pn,"NAL 2444, ff. 1-2","Paris, Bibliothèque nationale de France - Département des manuscrits, NAL 2444, ff. 1-2"
F-Pn,"NAL 2444, ff. 21-24","Paris, Bibliothèque nationale de France, NAL 2444, ff. 21-24"
F-Pn,"NAL 2444, ff. 32-33","Paris, Bibliothèque nationale de France, NAL 2444, ff. 32-33"
F-Pn,"NAL 2444, ff. 53-55","Paris, Bibliothèque nationale de France, NAL 2444, ff. 53-55"
F-Pn,"NAL 2444, ff. 7-8, 62-65","Paris, Bibliothèque nationale de France, NAL 2444, ff. 7-8, 62-65"
F-Pn,"NAL 2444, ff. 9-13","Paris, Bibliothèque nationale de France, NAL 2444, ff. 9-13"
F-Pn,"NAL 2482, f. 5","Paris, Bibliothèque nationale de France, NAL 2482, f. 5"
F-Pn,"NAL 2482, ff. 7-16","Paris, Bibliothèque nationale de France, NAL 2482, ff. 7-16"
F-Pn,fond lat. 1084,"Paris, Bibliothèque nationale, fond lat. 1084"
F-Pn,fond lat. 1118,"Paris, Bibliothèque nationale, fond lat. 1118"
F-Pn,fond lat. 1121,"Paris, Bibliothèque nationale, fond lat. 1121"
F-Pn,fond lat. 887,"Paris, Bibliothèque nationale, fond lat. 887"
F-Pn,fond lat. 909,"Paris, Bibliothèque nationale, fond lat. 909"
F-Pn,fonds lat. 10508,"Paris, Bibliothèque nationale, fonds lat. 10508"
F-Pn,fonds lat. 10587,"Paris, Bibliothèque nationale, fonds lat. 10587"
F-Pn,fonds lat. 9448,"Paris, Bibliothèque nationale, fonds lat. 9448"
F-Pn,lat. 10510,"Paris, Bibliothèque nationale, lat. 10510"
F-Pn,lat. 10513,"Paris, Bibliothèque nationale, lat. 10513"
F-Pn,lat. 1086,"Paris, Bibliothèque nationale, lat. 1086"
F-Pn,lat. 1101,"Paris, Bibliothèque nationale, lat. 1101"
F-Pn,lat. 1120,"Paris, Bibliothèque nationale, lat. 1120"
F-Pn,lat. 1132,"Paris, Bibliothèque nationale, lat. 1132"
F-Pn,lat. 1133,"Paris, Bibliothèque nationale, lat. 1133"
F-Pn,lat. 1134,"Paris, Bibliothèque nationale, lat. 1134"
F-Pn,lat. 1135,"Paris, Bibliothèque nationale,  lat. 1135"
F-Pn,lat. 1136,"Paris, Bibliothèque nationale, lat. 1136"
F-Pn,lat. 779,"Paris, Bibliothèque nationale, lat. 779"
F-Pn,lat. 903,"Paris, Bibliothèque nationale, lat. 903"
F-Pn,lat. 904,"Paris, Bibliothèque nationale, lat. 904"
F-Pn,lat. 905,"Paris, Bibliothèque nationale, lat. 905"
F-Pn,lat. 9436,"Paris, Bibliothèque nationale, lat. 9436"
F-Pn,lat. 9449,"Paris, Bibliothèque nationale, lat. 9449"
F-Pn,nouv. acq. 1618,"Paris, Bibliothèque nationale, nouv. acq. 1618"
F-Pn,nouv. acq. lat. 1177,"Paris, Bibliothèque nationale, nouv. acq. lat. 1177"
F-Pn,nouv. acq. lat. 1235,"Paris, Bibliothèque nationale, nouv. acq. lat. 1235"
F-Pn,nouv. acq. lat. 1871,"Paris, Bibliothèque nationale, nouv. acq. lat. 1871"
F-Pn,nouv. acq. lat. 3126,"Paris, Bibliothèque nationale, nouv. acq. lat. 3126"
F-R,248 (olim  A. 339),"Rouen, Bibliothèque municipale, 248 (olim  A. 339)"
F-R,ms 249 (A. 280),"Rouen, Bibliothèque municipale, ms 249 (A. 280)"
F-RS,224,"Reims, Bibliothèque municipale, 224"
F-RS,227 (122),"Reims, Bibliothèque municipale, 227 (122)"
F-RS,285 (169),"Reims, Bibliothèque municipale, 285 (169)"
F-SO,596 (The Wilton Processional),"Solesmes, Abbaye de Saint-Pierre, 596 (The Wilton Processional)"
F-T,571,"Troyes, Bibliothèque municipale, 571"
F-TOm,149,"Tours, Bibliothèque municipale, 149"
F-VAL,114,"Valenciennes, Bibliothèque municipale, 114"
F-VN,759,"Verdun, Bibliothèque Municipale, 759"
FIN-Hy,F.m.I.17,"Helsinki, National Library, F.m.I.17"
FIN-Hy,F.m.I.234,"Helsinki, National Library, F.m.I.234"
FIN-Hy,F.m.I.240,"Helsinki, National Library, F.m.I.240"
FIN-Hy,F.m.I.242,"Helsinki, National Library, F.m.I.242"
FIN-Hy,F.m.I.243,"Helsinki, National Library, F.m.I.243"
FIN-Hy,F.m.I.244,"Helsinki, National Library, F.m.I.244"
FIN-Hy,F.m.I.248,"Helsinki, National Library, F.m.I.248"
FIN-Hy,F.m.I.250,"Helsinki, National Library, F.m.I.250"
FIN-Hy,F.m.I.251,"Helsinki, National Library, F.m.I.251"
FIN-Hy,F.m.I.252,"Helsinki, National Library, F.m.I.252"
FIN-Hy,F.m.I.254,"Helsinki, National Library, F.m.I.254"
FIN-Hy,F.m.I.26,"Helsinki, National Library, F.m.I.26"
FIN-Hy,F.m.I.29,"Helsinki, National Library, F.m.I.29"
FIN-Hy,F.m.I.85,"Helsinki, National Library, F.m.I.85"
FIN-Hy,F.m.I.86,"Helsinki, National Library, F.m.I.86"
FIN-Hy,F.m.II.44,"Helsinki, National Library, F.m.II.44"
FIN-Hy,F.m.IV.132,"Helsinki, National Library, F.m.IV.132"
FIN-Hy,MS A.ö.II.41,"Helsinki, National Library, MS A.ö.II.41"
GB-AB,20541 E,"Aberystwyth, Llyfrgell Genedlaethol Cymru (National Library of Wales), 20541 E"
GB-Ccc,473,"Cambridge, Corpus Christi College, 473"
GB-Ccc,MS. 146,"Cambridge, Corpus Christi College, MS. 146"
GB-Cfm,MS 369,"Cambridge, Fitzwilliam Museum, MS 369"
GB-Cu,Mm.ii.9,"Cambridge, University Library, Mm.ii.9"
GB-Cu,additional 710,"Cambridge, University Library, additional 710"
GB-LEc,F-njql,"Leeds, Central Library, F-njql"
GB-LEc,F-rc2m,"Leeds, Central Library, F-rc2m"
GB-LVu,Inc.P12/C Antiphoner,"Liverpool, Liverpool University Library Special Collections & Archives, Inc.P12/C Antiphoner"
GB-LVu,MS.Ed.7-10,"Liverpool, Liverpool University Library Special Collections & Archives, MS.Ed.7-10"
GB-Lbl,Add. 19768t,"London, British Library, Add. 19768t"
GB-Lbl,Additional 23935,"London, British Library, Additional 23935"
GB-Lbl,"Additional Collection, MS. 57337","London, British Library, Additional Collection, MS. 57337"
GB-Lbl,Additional MSS 43405 and 43406,"London, British Library, Additional MSS 43405 and 43406"
GB-Lbl,Cotton MS Caligula A.xiv,"London, British Library, Cotton MS Caligula A.xiv"
GB-Lbl,Royal 2.B.IV,"London, British Library, Royal 2.B.IV"
GB-Lbl,Royal 8 C. XIII,"London, British Library, Royal 8 C. XIII"
GB-Lbl,add. 11414,"London, British Library, add. 11414"
GB-Lbl,add. 12194,"London, British Library, add. 12194"
GB-Lbl,add. 16905,"London, British Library, add. 16905"
GB-Lbl,add. 18031,"London, British Library, add. 18031"
GB-Lbl,add. 18032,"London, British Library, add. 18032"
GB-Lbl,add. 19768,"London, British Library, add. 19768"
GB-Lbl,add. 24680,"London, British Library, add. 24680"
GB-Lbl,"printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)","London, British Library, printed book IB.6753 (Augsburg Antiphoner 1495, olim AA Impr. 1495)"
GB-NTu,ROB405,"Newcastle upon Tyne, Philip Robinson Library, ROB405"
GB-Ob,MS. Bodley 775,"Oxford, Bodleian Library, MS. Bodley 775"
GB-Ob,MS. Canon. Liturg. 202,"Oxford, Bodleian Library, MS. Canon. Liturg. 202"
GB-Ob,MS. Canon. Liturg. 340,"Oxford, Bodleian Library, MS. Canon. Liturg. 340"
GB-Ob,MS. Canon. Liturg. 341,"Oxford, Bodleian Library, MS. Canon. Liturg. 341"
GB-Ob,MS. Canon. Liturg. 354,"Oxford, Bodleian Library, MS. Canon. Liturg. 354"
GB-Ob,MS. Douce 222,"Oxford, Bodleian Library, MS. Douce 222"
GB-Ob,MS. Lat. liturg. b. 14,"Oxford, Bodleian Library, MS. Lat. liturg. b. 14"
GB-Ob,MS. Lat. liturg. b. 5,"Oxford, Bodleian Library, MS. Lat. liturg. b. 5"
GB-Ob,MS. Lat. liturg. e. 13,"Oxford, Bodleian Library, MS. Lat. liturg. e. 13"
GB-Ob,MS. Laud Misc. 284,"Oxford, Bodleian Library, MS. Laud Misc. 284"
GB-Ob,MS. Selden Supra 27,"Oxford, Bodleian Library, MS. Selden Supra 27"
GB-Ojec,MS. 4,"Oxford, Jesus College, MS. 4"
